"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,기타,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,기타,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,종교적 신념,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,기타,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,기타,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해,기타,표본수,개인의 즐거움을 위해,마음의 안정과 휴식을 위해,스트레스 해소를 위해,건강을 위해,자기 만족을 위해,시간을 보내기 위해,가족과 시간을 함께하기 위해,대인 관계교제를 위해,자기 계발을 위해
"전체",소계,41.1,14.4,14.7,9.7,6.3,3.9,3.8,4.4,1.5,0,10602,37.1,16.9,14,10.3,8,3,3.2,5.2,2.3,0,10498,32.5,18.2,14.7,10.1,8.8,3.8,4.7,5.1,2,0,10060,36.5,21.2,11.6,7.3,7.4,6.2,3.5,4.5,1.8,0,10088,38.9,20.1,13.9,7.5,6.3,4.9,4.1,2.6,1.6,0.1,10049,40.6,20.4,12.8,7.7,5.2,7.2,2.4,1.8,1.9,0,10046,37.8,20.9,10.4,9,8.1,6.1,3.5,2.3,1.7
"성별",남성,41.1,12.8,16.7,9.3,6.9,3.2,3.4,5,1.5,0,5179,37,15,15.7,9.9,7.4,2.9,3.5,6.3,2.3,0,5263,32.4,16.1,16.8,9.8,8.6,3.5,4.6,6.2,2,0,5028,37.1,19.6,12.2,7.4,7.1,6.1,3.5,4.9,2.1,0,5003,39,18.4,16.1,7.5,5.7,4.5,4,3.1,1.6,0.1,4972,41.2,18.4,14.6,7.2,5,6.7,2.5,2.4,2,0,4893,37.7,19.5,12,9.1,7.8,5.9,3.4,2.9,1.6
"성별",여성,41,16,12.7,10.2,5.8,4.6,4.2,3.8,1.6,0,5423,37.2,18.9,12.2,10.7,8.5,3.1,2.8,4.2,2.3,0,5235,32.6,20.3,12.7,10.3,9,4.2,4.9,4,1.9,0,5032,35.9,22.8,11.1,7.2,7.6,6.4,3.5,4,1.4,0,5085,38.8,21.8,11.7,7.4,6.8,5.3,4.3,2.2,1.5,0.1,5077,40.1,22.4,11.1,8.2,5.4,7.6,2.2,1.2,1.9,0,5153,38,22.3,8.9,9,8.3,6.3,3.6,1.8,1.8
"연령별",15~19세,49.4,7.4,24.7,3.7,6,2,0.2,4.2,2.3,-,827,47.2,10.5,22.1,1.2,6.1,1.9,0.5,5,5.5,0,696,41,14.1,23.6,2.3,6.4,0.9,0.5,5.7,5.5,0,661,47.8,14.5,18,1.2,7.3,4,1.1,3.9,2.1,-,619,53.3,13.3,17.7,1.9,6.1,3.1,0.3,1.5,2.6,0.1,588,52.6,11.9,17.2,2.8,6,4.1,0.1,2,3.3,-,487,45.2,17.4,19.7,3.1,7.5,2.2,-,2.4,2.5
"연령별",20대,51.6,9.3,17.4,3.7,5.9,1.8,0.7,6.4,3.2,-,1476,44.1,12.4,16.6,4.6,10.9,1.7,0.6,5.9,3.2,0,1458,39.9,14.1,16.4,5.2,11.4,1.6,1.1,7.5,2.7,0,1468,44.4,16.4,15.3,3.3,8.6,2.1,0.8,5.4,3.8,-,1536,46.6,16.7,17.8,3.2,6.6,2.9,1.4,2.5,2.3,-,1512,48.7,15.7,14.8,4.5,5.3,4.2,0.9,1.7,4.1,0.1,1371,48.5,17.1,13.5,3.2,8.9,2.8,0.2,2.9,2.9
"연령별",30대,39.4,14.6,16.8,7.6,7.9,1.5,7.8,3.4,1,0,1707,37.3,16.2,17.6,5.8,8.7,2.1,5.4,5,1.9,0,1560,29.5,18.9,18.1,7.2,8.8,1.2,10,4,2.3,0.1,1643,38.5,20.8,12.6,5.1,8.6,2.3,6.8,3.2,2,0,1644,39.9,19.1,18.1,4.2,4.9,2.2,7.9,2.2,1.5,0.1,1492,40,20.2,16.9,3.7,5.7,4,5.3,1.6,2.5,0,1433,39.2,19.7,12.1,5,9.3,2.8,7.4,2.7,1.8
"연령별",40대,38.7,16,15,9.2,6,2.9,7.5,3.6,1.1,0,1991,34.4,18,14.6,8.2,8.1,2.1,7,5.6,1.9,0,1998,29.8,20.3,15.5,8.6,9.3,2.6,7.9,4.1,1.8,0,1885,33.1,24,13.1,6.6,6.5,4.9,6.1,4.2,1.3,-,1888,34.1,21.4,16,6.9,6.5,3.8,7.8,2.1,1.4,0.1,1782,39.3,23.2,14.2,5.4,5.3,5,4,2.1,1.4,-,1717,36.6,21.8,12.2,8.1,6.9,3.2,7.6,1.8,1.7
"연령별",50대,36.5,16.6,13.3,13.5,7.8,3.5,2.4,5.2,1.3,-,1956,35.4,18.8,12.8,14.2,6.9,2,2.6,5.3,2,0,2007,31.9,18.5,14.2,11.5,9.3,2.9,5,5.6,1.3,0,1877,34.5,23.6,11.2,8.4,8.8,4.2,3,5,1.3,0.1,1858,37.2,20.7,13,9.2,6.9,4,3.5,3.7,1.7,0.1,1900,39.5,21,12.9,8.5,4.9,6.7,2.3,2.5,1.7,0,1831,35,22.8,10.6,11.3,9.2,3.7,3,3,1.4
"연령별",60대,36.3,19.2,7.3,16.3,5.5,7.7,2,4.7,1,0.1,1336,33.4,20.7,8.3,18.7,7,4.3,1.4,4.4,1.7,0,1422,31,21.5,10.5,15.4,7.4,4.9,2.7,5,1.5,0,1324,31.8,23.2,8.8,12.2,7.3,8.7,1.8,4.9,1.3,0.1,1377,37.1,22.1,10.5,10.4,7.4,5.9,2.5,3,1,0.1,1477,38.8,21.8,9.3,11.9,5.5,9.1,1,1.5,1.1,-,1707,35.6,23.3,6.8,13.3,8,7.9,1.9,1.6,1.6
"연령별",70세이상,36.3,17.6,5.5,18.2,3.2,13.7,1,3.5,0.9,0.1,1309,31.8,19.8,6.1,19.5,6.3,9.1,1,4.9,1.4,0,1357,29.1,17.6,7,19.3,6.9,14.9,0.8,4,0.4,0,1202,31.5,21.2,3.8,12.4,3,21,2.1,4.2,0.7,-,1166,33.3,23.6,4.4,14.3,4.9,14,1.9,2.6,0.9,0.1,1298,32.4,23.1,5.6,15.7,4.1,17.4,0.7,0.9,0.3,-,1500,29.9,21.1,3.3,15.5,6.2,20.3,1.3,1.7,0.7
"학력별",초졸 이하,38.9,16,9,11.4,4.4,13.9,0.8,4.4,1.2,0.1,1248,36.4,18.4,9.5,14.4,6,8.2,1,4.9,1.2,0,923,31.8,17.2,9.4,13.7,7.7,13.8,0.9,4.3,1.1,0,1151,31.9,19.6,7,9.8,3.9,21.2,1.6,4.2,0.7,0.1,1101,35.7,22.4,7.5,11,5.4,12.8,1.7,2.8,0.6,0.1,1139,39.8,22.5,5.2,9.3,4.8,16.9,0.6,0.6,0.4,-,1146,29.9,19.1,5.9,12.7,6.5,22.2,1.3,2,0.4
"학력별",중졸,41.3,12.9,17,12.2,5.5,5,0.8,4.3,1,-,1471,40.8,15.6,13.2,11.4,6.2,4.4,0.5,4.5,3.3,0,1452,33.8,17.1,14.1,12.6,5.7,7,1.6,5.6,2.4,0,1164,39,17.4,10.6,7.6,7.4,10,2.4,4.4,1.1,-,1067,42.9,20.8,11.7,6.3,7.3,6.4,1.4,1.8,1.2,0.2,1142,38.4,17.9,11.8,12.7,4.4,11.1,1.1,1.4,1.3,-,1136,36.1,21.8,10,9.1,7.6,10.1,1.5,1.9,1.9
"학력별",고졸,42.2,15,15.3,10.1,5.8,3.2,3.1,3.6,1.7,0,4183,36.8,18.1,14,10.2,8.4,2.5,3,4.9,2.1,0,4491,34.3,18.3,15.2,8.9,9.5,2.9,3.6,5.4,1.8,0,3940,38.6,20.8,11,7.5,7.9,5.3,2.3,4.9,1.7,0,4039,40,19.5,14.6,7.1,6.5,4.5,3.3,2.6,1.8,0,3927,41.6,20,14.3,6.8,5.1,6.8,1.8,1.9,1.6,0,3790,38.7,21.3,10,9.6,8.7,4.7,3.1,2.4,1.6
"학력별",대졸이상,40.3,13.9,14.7,8.2,7.7,1.8,6.4,5.3,1.6,0,3700,36.4,15.8,15.3,9.1,8.5,1.8,4.7,5.9,2.5,0,3632,29.9,18.6,15.4,9.9,9.3,2.1,7.9,4.7,2.2,0,3805,34.8,23.2,13.7,6.4,7.6,2.5,5.5,4.1,2.3,0,3881,37.6,19.9,15.5,7.2,6,2.9,6.4,2.8,1.7,0.1,3841,40.5,21,13.4,6.8,5.6,4.1,3.6,2,2.8,0,3974,39.2,20.7,11.9,7.7,8,3.1,4.9,2.5,2.1
"동거가구원수별",1인,42.2,13.8,12.7,10.2,4.8,9.8,0.4,4.3,1.8,-,1178,33.5,17.9,12.8,11.7,7.7,8.3,0.5,5.8,1.8,0.1,2264,33.4,18.9,11.2,11.7,8,9.2,1.2,4.9,1.5,0,1692,36.7,18.4,9.8,7,7,13.7,0.5,4.9,1.9,0.1,1902,39.3,21.2,11,7,7.2,10.4,0.4,2.8,0.7,0,2022,39,20.3,12.7,8.4,5.2,10.7,0.3,1.7,1.7,0.1,1799,34.8,18.9,8.8,9.7,8.6,15.6,0.8,1.5,1.3
"동거가구원수별",2인,38.3,16.5,9.9,14.5,6.3,6.6,1.9,4.7,1.2,0.1,2452,36.9,16.6,9.1,16.4,7.1,5.6,2.2,4.5,1.7,0,2171,33,18.5,12,14.7,7.2,6.1,2.8,4.9,0.8,0,2766,35.2,22.7,9.2,10.5,6.5,8.4,2.2,4.3,1.1,-,2581,37.6,22.2,10.6,10.1,6,6.6,2.8,2.9,1.1,0.1,2786,39,21.6,11.2,10.1,4.5,9.3,1.5,1.5,1.2,-,3059,35,20.8,7.7,12.2,8.2,9.5,2.1,2.7,1.7
"동거가구원수별",3인이상,-,-,-,-,-,-,-,-,-,-,6972,37.4,17,15.1,8.9,8.2,2.2,3.5,5.4,2.5,0,6063,32.2,18.1,15.9,8.8,9.3,2.6,5.6,5.2,2.3,0,5602,36.9,21.1,12.8,6.1,7.7,4.4,4.4,4.4,2,0,5605,39.3,19.3,15.4,6.7,6.2,3.8,5,2.5,1.8,0.1,5241,41.8,19.9,13.6,6.4,5.5,5.2,3.3,1.9,2.3,0,5188,39.3,21.2,11.7,7.7,8,3.7,4.4,2.3,1.8
"동거가구원수별",3인,41.7,15.6,15.3,9,6.3,2.7,4.5,4,0.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",4인,41.4,13.2,16.8,8.2,6.8,2.4,4.8,4.5,1.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,42.7,14.4,14,8.5,5.3,3.6,5.3,4.7,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,50.6,8.9,19.6,4.2,6.3,2,0.2,5.5,2.7,-,2805,44.9,11.8,18.5,4.1,9,1.9,0.4,5.9,3.5,0,2925,39,14.2,18.6,4.8,10.2,1.7,0.9,7,3.6,0,2901,44.8,16.3,15.3,3.1,8.5,3.2,0.6,5,3.2,0,3041,47.7,16,17.6,3.7,6.1,3.1,0.4,2.9,2.4,0,2959,48.6,15.3,15.3,4,6,4.9,0.5,2,3.4,0.1,2704,46.6,16.8,14.5,4.3,9.1,2.8,0.2,3.1,2.7
"혼인상태별",기혼,37,16.8,13,12.1,6.5,3.8,5.7,4,1.1,0,6831,34.9,18.4,12.5,12.2,7.8,2.9,4.4,5,1.9,0,6121,30,20,13.9,11.3,8.6,3.4,6.8,4.5,1.5,0,5965,33.6,23.1,10.5,8.8,7.2,6,5.1,4.3,1.4,0,5713,35.7,21.2,13.3,8.8,6.5,4.5,6.1,2.6,1.3,0.1,5702,37.8,22.4,12.2,9.1,5,6.7,3.7,1.8,1.5,0,6093,34.8,22.7,9.3,10.6,7.8,6,5.1,2.1,1.5
"혼인상태별",사별/이혼/기타,38.5,15.7,9,11.8,5.1,13.4,2.1,3.9,0.5,-,966,27,23.6,10,16.8,5.4,9.6,2,4.1,1.5,0,1452,30.2,18.1,8.7,17.4,6.4,13.8,1,4,0.4,0,1194,30.6,23.8,8,10,5.1,17.1,1.3,3.7,0.3,0.1,1334,35.5,24.4,8,9.3,5.1,12.7,1.6,2.3,1.1,0,1388,34.5,23.2,9.3,10.4,4.4,16,0.3,1.2,0.6,-,1249,32.1,20.4,4.9,13,6.8,19.8,1.2,1.5,0.4
"가구주여부별",가구주,37.6,14.9,14.4,11.1,6.5,5,4.3,4.7,1.3,0,5001,33.6,17.2,13.8,11.9,7.5,3.7,4.5,6,1.8,0,5482,30.2,18.2,14.9,12,8,4.9,5.1,5.4,1.3,0,6563,34.4,21.4,11.3,8.6,6.6,7.5,3.9,4.9,1.3,0.1,5073,35.9,19.8,14.2,8.9,6,6.2,4.6,3.1,1.2,0,5133,38.6,20.8,13.2,8.4,4.7,8.7,2.1,2,1.5,0,5163,35.2,20.2,10.2,11,7.7,8,4,2.4,1.3
"가구주여부별",가구주 아님,43.5,14.1,14.8,8.8,6.3,3.1,3.5,4.2,1.7,0,5601,39.7,16.7,14.1,9.1,8.3,2.5,2.2,4.7,2.7,0,5016,34.3,18.2,14.6,8.5,9.5,3,4.4,4.9,2.5,0,3497,39,21,12.1,5.7,8.3,4.7,3,3.9,2.3,-,5015,41.2,20.4,13.7,6.3,6.5,3.9,3.8,2.2,1.9,0.1,4916,42.5,20,12.4,7.1,5.7,5.8,2.6,1.6,2.4,0,4883,39.9,21.5,10.7,7.5,8.4,4.6,3.1,2.3,2.1
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,37.5,22,13.5,6.3,7.8,2.5,4.4,4.2,1.8,0,2980,38.6,19.3,17.1,6.5,6.1,2.3,6.1,2.8,1.4,-,3102,41.3,20.5,15.5,5.3,5.2,4.8,3.2,2.3,1.9,0,3300,38.4,21.7,12.5,8.2,7.8,2.5,4.6,2.8,1.4
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,40.3,17.6,13.6,7.6,5.5,6.2,5,4.1,0.2,-,518,41,19.9,15.1,7.9,5.6,6.2,1.3,1.7,1.2,-,653,41.5,18.9,10.8,8.9,5.5,9.5,1.4,1.1,2.4,-,630,37.1,22.7,9.1,8.3,8.2,7.6,2.3,2.9,1.8
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,31.3,15,9.5,11,6.1,10,5.3,3.1,8.6,-,164,35.2,18.7,17.2,4.9,9.5,6.8,3.2,2.4,1.3,0.8,161,46.9,17.2,11.1,11.6,3.4,4.7,1,3,1,-,205,40.1,16.5,11.2,9.5,6.1,8.4,5,2.2,1
"종사자지위별",고용원이 있는 자영업자,36.2,13.2,14.6,6.7,12.6,1.7,5.8,7.6,1.5,-,326,31.5,19.2,15.6,11.3,6.8,2.3,6.7,6.1,0.6,0,248,25.4,21.8,18.9,13.5,6.9,3.8,1.8,6.1,1.8,0,337,32.4,22.1,15,10.4,5.9,2.5,3.3,6.5,1.9,-,395,40.2,16.1,12.2,10,5.2,2.6,8.4,3.2,2.1,-,357,41.9,25.3,12.7,5.4,3.7,2.1,2.3,2.7,3.7,0.2,356,41.7,19,10.7,10.2,6.3,2.4,5.3,2.2,2.3
"종사자지위별",고용원이 없는 자영업자,38,16.6,12.9,11.2,6.1,5.4,3,5.6,1.1,0.1,1540,36.2,17.5,13.1,11.3,8.8,3,2.7,5.5,1.9,0,1637,33.2,18.4,15.8,10.9,8.1,4.3,2.6,5.2,1.4,0,2006,35,20.7,11.7,7.7,8,7.2,3.2,5,1.4,0.1,1755,36.2,20.2,15.1,8.1,6.8,5.8,3.1,3.2,1.5,-,1805,40.5,19.9,15.2,7.3,4.7,7.5,2,1.4,1.5,-,1557,36.4,20.3,10.9,9,9.7,6.3,3,2.6,1.8
"종사자지위별",무급가족종사자,42,18.9,9,4.6,9.2,10.6,1.9,3.2,0.2,0.4,233,39.5,13.1,10.4,14.7,5.2,9.2,2,4.9,1.1,0,139,40.3,15.9,11.3,6.2,17.2,3.6,2,3,0.6,0,250,34.7,30.5,10,3.7,6.3,6.8,2.9,4.8,0.3,-,173,39.6,30.3,8.1,7,4,4.6,4.2,1,1.2,-,235,40.9,24.6,8.8,6.2,7.4,6.8,2.6,2.6,0.1,-,188,39.2,24.7,3.1,9.3,9.3,7.3,4.1,2,0.9
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,23.3,15.3,30.7,7.1,7.9,0,2.3,6.8,6.7,-,59,34.9,18.4,7.6,12.5,4.3,3.2,12.8,6.3,-,-,40,14.8,20.9,5.9,18.2,6.2,6.3,22.1,2.6,2.9,-,53,27.7,23.8,9.1,12.5,10.3,0.7,3.5,3.7,8.8
"종사자지위별",해당없음(무직),42.3,14.4,13.6,11,5.9,4.7,2.4,3.7,1.9,0,4293,38.6,17.5,13.1,11,7.5,3.2,2.1,4.2,2.9,0,3857,32.3,18.4,12.4,11.8,9.3,5.6,3.1,4.7,2.4,0,3793,36.8,21.1,9.6,7.6,7.2,8.8,2.7,4.3,1.9,0,4044,40,20.7,11.4,7.6,6.4,6.6,3,2.4,1.7,0.2,3696,39.8,20.1,10.1,9.8,5.5,9.3,1.8,1.5,2.1,0,3757,37.6,20.4,8.8,9.7,7.8,9.4,2.6,1.7,2
"종사자지위별",임금.봉급 근로자,41.1,13.6,16.6,8.4,6.2,2.5,5.5,4.6,1.4,0,4210,36.4,16.3,15.2,9.1,8.3,2.6,4.1,6.1,2,0,4617,32.6,17.8,16.3,8.3,8.6,2.2,7,5.4,1.8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,40.7,17.8,7.7,11.8,3.3,13.7,1.3,2.8,0.9,0.1,861,29.6,21.1,6.2,18.8,5.1,12.4,0.9,4.6,1.3,0,921,31.1,18.9,9.2,14.7,5.1,16.3,0.7,3.9,0.1,0,939,30.8,21.7,5.4,9.8,4.2,22.3,1,4.1,0.5,0.1,980,33.9,22.3,6,12,5.5,16.8,0.5,2.5,0.4,0.1,999,34.7,20.7,6.8,11.2,4.4,19.6,0.7,1.4,0.6,-,1098,28.5,18.4,5,11.9,5.1,27.9,0.9,1.6,0.6
"가구소득별",100~200만원,34.4,14.5,9.6,17.3,5.7,9,1.9,5.8,1.6,0.1,1075,37.1,17.7,8.1,16.4,6,5.3,1.5,5.8,2,0.1,1007,29.8,19.1,10.3,17.4,8.4,8.6,1.7,3.9,0.9,0,929,36.6,20.7,7.8,9.7,6.8,12.2,1.4,4,0.7,0.1,923,35.2,23,9.3,10.5,5.2,9.5,2.4,3.5,1.2,0.2,1012,37.6,22.3,7.4,12.8,5.4,12.2,0.6,1,0.7,-,824,31.9,23.4,6,11.6,7.4,14.4,2.5,1.9,1
