"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"가구소득별",200~300만원,40.4,13.3,14.5,10.6,6.7,3.2,4.9,4.6,1.7,0.1,1594,37.6,16.4,12.2,12.3,9.1,3.9,2.6,4,1.9,0,1706,33.1,18.1,13,11,9.2,3,4.8,5.8,2.1,0,1613,34.9,19.9,12.1,9.4,7.6,6.9,3.2,4.3,1.6,0.1,1405,36.8,21.3,15.8,6.9,7.2,4.9,3.6,2.4,1,0.1,1421,39.1,21.9,13.2,8.7,4.6,8.7,1.6,1.1,1.1,0.1,1357,38.2,18.8,9.1,11.2,8.7,8,2.8,1.9,1.3
"가구소득별",300~400만원,41.9,14.1,17.8,7.9,6,2.8,4.4,3.9,1.3,-,2437,37.5,15.8,16.9,8.8,7.4,2.2,4.6,4.6,2,0,2246,34.2,18.8,16.2,8,7.8,2.6,5.3,5.1,2,0,2184,38.8,20.3,12.1,5.7,7.3,5.2,4,4.8,1.7,-,1824,39.8,19.6,14.5,5.9,7.2,3.3,4.5,3.4,1.7,0.1,1896,40.5,19.8,15,5.1,6,6.5,3.2,2,1.8,-,1764,36,21.7,11.3,9.3,9,3.7,4.4,2.4,2.2
"가구소득별",400~500만원,41.5,13.8,16,8.4,7.3,2.2,4.1,5,1.7,0,2231,37.2,16.3,16.3,8.8,8.2,2.6,3.2,4.9,2.5,0,2214,32,18.3,16.1,9,9.2,2.7,5.2,5.3,2.2,0.1,1785,38.3,19.1,13.8,5.9,7.8,4.9,4.2,4.1,1.9,-,1782,41.5,19.2,14.9,6.6,6,3.3,4.2,2.2,1.9,0.1,1611,38.4,20.9,15.7,8.3,5.4,4,2.3,2.4,2.5,-,1797,41.1,21.4,10.9,7.7,7.1,3.7,4,2.7,1.3
"가구소득별",500~600만원,46.3,14.6,13.5,7.5,6.6,1.6,4.2,3.9,1.7,-,1356,39.2,17.6,13.4,7.6,8.6,2.1,3.2,6.2,2.1,0,1405,33.6,17.6,15.1,8.2,9.7,2.9,6.1,4.8,2.1,0,1394,35.8,26.3,10.7,6.7,6.8,3,2.6,5.7,2.4,-,1407,38.9,20.1,14.5,7.5,6,4,4.1,2.8,1.9,0.1,1380,45.7,18.8,12.4,6.4,4.2,6,2.4,1.5,2.6,-,1532,38.6,21.5,12.6,8.2,8,3.2,3.8,2.3,1.8
"가구소득별",600만원 이상,37.5,15.6,15.9,11.1,7.3,2.7,3.4,4.8,1.8,-,1048,36,17.9,13.1,10.8,8.6,0.8,2.5,6.8,3.6,0,999,30.6,17.3,15.7,11.1,10.2,2.5,4.4,5.7,2.4,0,1216,35.7,20.8,13.5,7.7,8.9,2.5,5,3.5,2.3,-,1767,39.6,18.8,15.3,7.5,6,3.2,5.8,2,1.6,-,1730,43.7,19.7,13,6.3,5.7,3.1,3.4,2.2,2.8,0.1,1674,40,20.3,11.1,8.1,9.2,2.9,3.4,2.5,2.4
"가구소득별",무응답,70.2,14.9,14.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,38,15.7,15.2,10.6,7.3,3.5,3,5,1.6,0,4611,38,14.7,16.7,10.3,7,2.8,2.7,5.6,2.3,0,4418,35,17.1,14.4,9.3,9.1,4.1,4.1,4.6,2.3,0,4235,36.3,23.2,10.6,8.1,8.4,5.1,2.5,3.9,1.9,-,4373,41.5,19.7,13.3,7.6,6.3,4,3.8,2.1,1.5,0.1,4330,39.6,20.2,13.5,8.4,5.5,6.7,1.8,1.8,2.4,0,4331,39.1,19.2,11.6,9.3,7.9,5,3.3,2.6,2
"지역규모별",중소도시,44.4,13.3,15.1,9.4,4.8,2.3,5.1,3.9,1.6,-,3610,36.8,19.9,11.5,10.3,8.3,2.4,3.8,4.8,2.2,0,3524,28.4,19.7,15.5,11.7,9.4,2.9,5.1,5.7,1.6,0,3331,37.6,20.2,13.4,7.4,6.1,4.6,4,4.7,1.9,0.1,3776,36.5,21.5,15.1,6.9,6.4,4.6,4.5,2.8,1.7,0.1,3486,40.8,20.6,13.5,6.7,5.1,6.6,2.9,2,1.8,0,3459,39,22.5,9.6,9.4,7.5,5.5,4,1.4,1.2
"지역규모별",읍면지역,42.1,13.6,12.4,8.4,6.9,8.1,3.3,3.8,1.3,0.1,2381,35.6,16.3,12.5,10.5,9.5,4.8,3,5.2,2.6,0,2556,35,17.9,14,8.5,7,5.3,5.2,5.1,1.9,0,2494,34.9,19,10.5,5.3,7.6,11.8,4.6,5.1,1.2,-,1939,37.7,18.2,13,8.3,6,7.7,4.2,3.6,1.4,-,2233,42.4,20.3,9.7,8.1,4.7,9.5,2.4,1.4,1.4,0,2256,32.5,21.5,9.5,7.7,9.9,10.1,3,3.7,2.2
"권역별",수도권,38.2,13.6,15.8,11.9,6.8,2.7,4.3,4.9,1.9,-,3289,34,19.7,13.7,9.9,9.1,2.2,3.7,5.2,2.4,0,3182,28.8,19.9,14.5,11.9,8,3.5,6,5.3,2,0,3179,31.1,23.8,13,8.4,7.7,5.2,3.7,4.6,2.4,0,4895,37.7,20.1,13.5,8.4,6.9,3.6,5,2.7,1.9,0.1,3135,37.8,19.5,12.7,10.1,6.2,6.5,2.7,2.2,2.3,0,3107,36.8,20.9,10.5,10.2,8,5.1,4.1,2.5,2
"권역별",강원/제주권,28.2,13.9,12.1,15.9,5.5,6.2,9.6,5.9,2.3,0.3,762,34.4,13.1,11,17.5,5.8,3.7,3.9,8.3,2.5,0,786,25.8,15.8,17.1,11.9,10.2,3.7,6.5,5.5,3.4,0,765,36.8,18,15.4,4.4,6,9.7,2.7,5.7,1.1,0.2,440,40.1,13.6,9.4,6.1,16,5.4,3.9,3.8,1.5,-,777,47.6,15.7,11,7.2,6.7,6.4,1.3,2,1.9,0.2,772,28.7,21.6,14.9,6.6,11.2,7.2,5.2,3.7,1
"권역별",충청/세종권,44.4,8.3,14.5,9.9,7.2,5,5.8,3.4,1.5,0,1778,38.5,15.2,15.8,8,9.4,1.7,2.8,5.4,3.2,0,1772,29.6,21.4,13.8,6.2,11,4,4.8,7.8,1.5,0,1693,44.2,16.7,11,5,4.8,8.4,6.1,3.1,0.7,0,1115,45.5,16.3,16.6,6.7,0.8,9.1,2.1,2.3,0.7,-,1703,33.7,22.7,16.4,5.2,2.2,14.5,1.7,1.7,1.9,-,1721,42.5,22.1,9.8,8.8,7.7,4.3,2,2.1,0.7
"권역별",호남권,41.8,16.6,9.2,6.6,8.1,9,3.2,4,1.5,0,1575,25.1,22.1,13.4,13.6,9.2,5.2,4.2,4.9,2.3,0,1582,33.3,23.8,11.3,10,8.7,5.8,2.9,2,2.2,0,1447,38.6,16.9,11.9,6.2,10.3,7.9,3.5,3.6,1,-,1029,30.9,23.2,14.7,8,7.3,5.7,6.5,2.6,1.1,-,1469,38.6,18.8,16.3,6.3,6.6,5.5,3.8,2.8,1.3,0.1,1485,32.8,20.6,7,8.1,10.5,11.5,4.8,1.5,3.3
"권역별",대경권,48.6,18.9,15.4,6.5,3.6,2.9,1,2.4,0.8,-,1302,57.9,7.7,13,8.6,3.5,2.7,1,4.6,1.2,0,1304,48.9,12,16.6,5,7.5,4.5,1.1,2.9,1.4,0,1195,38.7,19.3,14.2,6.9,8.6,5.9,1.4,3.8,1.1,-,1047,40.4,24.2,11.8,5.8,5.8,5.8,2.9,1.7,1.6,-,1203,43.4,30.1,6.6,4.2,5.1,6.1,2.4,0.8,1.4,-,1200,34.7,20.3,13.2,8.5,8.1,7.9,3.8,1.7,1.7
"권역별",동남권,45.4,16.8,15.1,5.7,5.3,3.9,2.1,4.9,0.8,0.1,1896,41.1,12.9,15.3,10.2,6,5,2.4,4.9,2.1,0,1872,36.9,11.7,16.6,9.7,10.7,3,3.6,5.9,1.8,0,1781,45.9,20.8,4.8,6.8,5.7,6.4,2.4,5.4,1.7,-,1562,41.9,20.1,15.7,5.9,4.9,5.1,2.1,3,1.2,0.2,1762,52.5,17.8,12.9,4.9,2.8,5.9,1,0.4,1.6,-,1761,46.1,20.7,10,7,6.1,5.8,1,2.6,0.8
"17개 시도별",서울,33.1,16.1,15.6,14,8.4,3.7,2.3,4.9,1.8,-,1257,37.1,13.5,16.2,10.8,7.7,2.9,3.2,6.3,2.3,0,1220,29.2,19.8,14.8,11,9.8,5.2,3.2,5,2,0.1,1191,29.7,25.4,15.3,8.8,7.2,4.7,2.4,4.4,2.1,-,1931,35.9,17.3,14.7,9.9,8.7,4,6,2.1,1.6,-,1195,37.2,16.7,13.1,12,6.5,7.3,2.3,1.7,3.1,-,1164,34.7,19.5,13,11.5,6.5,5.7,4.4,2.7,2
"17개 시도별",부산,44.5,17.2,15.9,7.1,4.6,3,2,5,0.5,0.2,751,40.7,13.2,15,9.4,6.4,5.2,1.1,7,2.1,0,734,35.8,13.7,15.6,9.3,13.1,2.2,4.4,4.3,1.6,0,693,46.8,23.8,2.5,7.9,6.1,6.6,2,2.8,1.4,-,681,47.7,21,15.5,4.4,3.7,3.5,1.1,2.4,0.6,-,691,50.1,17.3,14.1,6.9,3.2,5.5,0.8,0.6,1.5,-,690,47.4,20.6,10.3,4.5,7.8,5.7,1,1.9,0.9
"17개 시도별",대구,48.3,21,15.3,4.6,4.2,3,1.2,2.2,0.3,-,633,55.5,10.5,15.4,6.8,2.9,2.4,0.8,4,1.5,0,638,49.1,12.1,15.7,5.8,8,2.9,0.9,3.2,2.3,0,584,38.6,21.9,10.8,9.4,9.6,3.8,2.1,2.2,1.5,-,490,42.7,29.4,10.2,8.5,3.5,3.2,1.4,0.2,0.9,-,580,48,27.8,4.9,3.8,5.7,5.2,2,1.1,1.6,-,580,36.8,19.8,14.6,9.9,7.3,4.6,3,1.9,2
"17개 시도별",인천,37.2,10.8,12.7,11.5,8.7,2,4.7,10.2,2.2,-,675,29,18.7,18.5,11.3,8.1,1.7,3.7,5.1,3.9,0,637,47.9,12.3,11.9,9.2,1.7,2.1,7.7,3.8,3.4,0,644,29.1,20.9,6.2,9,14.6,7.5,4.1,5.1,3.5,-,556,50.7,17.9,6.9,5.8,5.6,2.1,3,3.5,4,0.5,624,38.6,25.9,10.5,6.6,7.3,5,1,3.5,1.6,0.1,617,41.5,16.1,7.4,7.9,12.8,4.1,4.9,3.4,1.8
"17개 시도별",광주,40.5,18.4,10.9,7.2,7.3,4.4,6.3,2.4,2.4,0.2,492,28.3,24.5,18.9,13,8,1.8,2.1,2.9,0.5,0,475,37.3,23.8,9.9,3.9,9.7,5,5.6,3,1.9,0,451,46.4,18.4,8.4,5.8,11.8,4.6,1,1.7,1.9,-,294,38.1,23.3,12.6,4.9,6.4,3,7.3,3.1,1.3,-,452,41.2,21.1,14.9,5.9,3.7,5.9,2.3,3.8,1.3,-,447,41.3,20.9,7.9,8.3,6.7,4.1,2,2.6,6.3
"17개 시도별",대전,37.1,9.5,12.3,12.3,10,2.5,8.8,4.7,2.7,0,501,33.4,12.3,18.4,11.5,10.3,1.6,4.2,5.5,2.8,0.1,493,27.9,18.5,13.4,7.1,12,3.4,6,8.8,2.8,0,463,47.8,18,10.7,3.6,5.9,5.8,3.8,4.2,0.2,-,303,54.6,11.6,18.3,6.5,2,5.3,1,0.8,-,-,460,31.1,23.2,21.9,3.9,2.3,10.7,2.1,2.6,2.2,-,460,43.4,20,10,10.1,9.2,1.6,2.4,1.5,1.8
"17개 시도별",울산,38,15.2,24.4,2.3,5.7,9.4,0.6,2.7,1.7,-,426,42.2,17.9,16.9,7.5,6,0.7,5.7,0.9,2.1,0,425,36.2,13.1,14.2,10.8,6.8,6.5,5.4,3.8,3.1,0,406,47.5,18.2,4.5,3.5,4.8,6.6,4.9,9.8,0.2,-,221,30.5,26,16.3,7.8,6.6,8.4,0.6,2.4,1,0.3,390,42.3,22.2,21.5,1.6,3.9,4.2,1.4,1,2,-,393,41.4,21.1,12,7.2,4.9,4.6,0.9,7.3,0.5
"17개 시도별",세종,41.2,10.9,26.2,6,6.5,2.6,1.6,1.4,3.6,-,175,22,27.6,23.5,10.9,3.1,1.4,0.6,10.7,0.4,0,189,38.2,21.7,10.3,5.3,9.3,1.8,6.6,5.7,1.1,0,201,51.3,15.1,8.6,7.9,2,6.2,7.5,1.4,-,-,61,45.5,13.3,5.7,9.5,1.8,19.2,1.7,3.3,-,-,201,32.5,24.7,14.4,9.4,0.7,12,3.5,-,2.8,-,221,44.4,22.7,16.3,7.1,3.7,1.8,2.9,1.2,-
"17개 시도별",경기,43,12.1,16.7,10.1,4.8,1.9,6,3.6,1.9,-,1357,32.7,25.1,10.6,8.9,10.5,1.8,4,4.4,2.1,0,1325,24.2,21.7,14.8,13.3,8.1,2.6,7.8,5.9,1.7,0,1344,32.5,23.3,12.8,8.1,6.6,5,4.6,4.7,2.3,0.1,2408,36.2,22.6,14.1,8,5.9,3.7,4.8,3,1.7,0.1,1316,38.2,20.1,12.8,9.4,5.8,6.3,3.3,2.3,1.9,-,1326,37.2,22.9,9.3,9.7,8.1,4.9,3.7,2.1,2
"17개 시도별",강원,30.8,10.9,12.2,14.4,6.5,6.4,9.4,6.2,2.8,0.4,462,36.9,11,10.4,18,6.6,3.7,2.3,8.4,2.7,0,478,29.7,14.8,15.5,9.5,10.3,4.5,5.5,5.8,4.3,0,463,28.1,22.2,15.7,5.5,7.9,10.6,2.9,5.8,1.2,0.2,320,35,13.3,8.1,8.6,18.3,6.5,4.4,4.1,1.8,-,475,42.7,10.8,12.1,9.7,8.9,9,1.9,2.4,2.3,0.2,472,26.4,22,15.5,8.1,9.5,8.3,4.1,4.8,1.2
"17개 시도별",충북,43.6,9.6,15.4,8.8,7.6,4.4,5.7,4.1,0.8,-,512,43.7,12.5,16.6,6,8.8,1.7,2.8,4.4,3.4,0,501,33.3,25.4,13.4,7.8,7.3,4.9,2.3,5.1,0.7,0,475,46,20.1,9.2,3.2,4.8,7.6,4.9,3,1,0.2,321,38.8,26.9,13.3,5.1,-,9.1,3.1,1.8,1.8,-,480,21.4,34,18,4.1,2.5,16.1,1,1.5,1.5,-,482,42.2,23.2,8.5,13,5.3,5.6,0.6,1.1,0.4
"17개 시도별",충남,50.8,6.1,14.6,9.2,4.8,7.6,3.8,1.9,1,-,590,39.9,18.1,12.6,6.7,10,1.7,1.9,5.6,3.6,0,589,26.8,20.4,14.8,4.5,13.3,4,5.6,9.4,1.3,0,554,39.3,13.5,12.8,7,4.5,11.1,8.4,2.6,0.8,-,430,44.2,11.9,19.4,7.6,0.5,10.3,2,3.5,0.6,-,562,44.7,13.8,11.9,6.3,2,16.2,1.6,1.5,2,-,558,41.7,22.5,9.6,4.9,9.1,5.5,2.8,3.5,0.4
"17개 시도별",전북,45.3,20.9,8.4,6.3,3.7,7.1,2.7,4.6,1,-,551,22,21.9,14.7,11.2,8.9,4.1,8.1,5.9,3.1,0.1,560,36.1,24,11.6,16.3,5.3,3.7,1.5,0.7,0.8,0,496,34.1,20.1,18.5,8.1,3.1,5.9,3.4,6.3,0.5,-,375,30.4,19.8,15.4,6.7,10.3,5.1,8.8,2.8,0.7,-,511,45.5,16.3,15.9,5.4,3.9,3.7,5.1,2.9,1.2,0.2,523,26.3,27.2,4.7,4.5,13.8,16.1,4.7,0.8,1.8
"17개 시도별",전남,39.3,10.7,8.6,6.4,13.4,14.6,1.3,4.5,1.2,-,532,25.5,20.4,7.4,16.6,10.3,9.2,2.1,5.6,2.9,0,547,27.2,23.6,12.1,8.7,11.3,8.6,2,2.4,3.9,0,500,36.8,12.5,8.2,4.4,16.2,12.8,5.6,2.6,0.9,-,360,25.5,26.6,15.7,11.9,4.9,8.4,3.5,2.1,1.4,-,506,29.4,19.4,17.8,7.7,11.7,7.1,3.8,1.9,1.3,-,515,32.4,13.6,8.6,11.5,10.2,12.9,7.1,1.2,2.5
"17개 시도별",경북,48.8,16.9,15.5,8.2,3,2.9,0.9,2.6,1.3,-,669,60.1,5.1,10.7,10.1,4.1,2.9,1.1,5.1,0.8,0,666,48.8,12,17.5,4.2,7,6,1.3,2.6,0.6,0,611,38.9,16.8,17.2,4.7,7.6,7.9,0.8,5.3,0.8,-,557,38.2,19.6,13.3,3.4,8,8.1,4.3,3,2.1,-,623,39.3,32.1,8.1,4.6,4.6,6.8,2.7,0.6,1.2,-,620,32.8,20.8,12,7.1,8.9,10.8,4.6,1.6,1.4
"17개 시도별",경남,49.1,16.8,10.9,5.3,6,3,2.6,5.5,0.8,-,719,41.1,11,15.1,12.1,5.7,6.3,2.6,4.1,2,0,713,38.2,9,18.6,9.7,9.4,2.8,2.2,8.4,1.7,0,682,44.5,18.7,7.3,6.9,5.6,6.1,2,6.6,2.4,-,660,39.8,17.3,15.6,6.8,5.6,5.5,3.5,3.8,1.8,0.4,681,58.5,16.8,8.9,3.9,2.1,6.9,1.1,0.1,1.6,-,678,46.4,20.6,9.1,9.6,4.7,6.4,1,1.6,0.7
"17개 시도별",제주,20.6,22.6,12.1,20.2,2.7,5.7,10.2,5.2,0.7,-,300,27.7,18.7,12.5,16.2,3.7,3.7,7.9,7.8,1.9,0,308,16.2,18,21,17.7,9.9,1.9,9,4.8,1.4,0,302,57.7,8.1,14.7,1.7,1.7,7.6,2.2,5.4,1,-,120,52.3,14.4,12.7,0.3,10.6,3,3,3.1,0.8,-,302,59,27.2,8.3,1.5,1.5,0.4,-,1.2,0.8,-,300,33.9,20.7,13.5,3,15.1,4.7,7.8,1,0.3
"장애여부별",장애등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,13.4,24.2,9.6,23,9.2,17.8,0.7,2,-,0,151,29.4,26.2,6,7.6,5.1,18,1.6,4.8,1.3,-,225,37.9,20.9,7.1,9,8.6,12.7,0.5,3.3,-,-,218,35.2,18.1,5.5,15.1,4.3,15.5,2.3,3.6,0.4,-,151,18.2,23.5,6.4,11.7,9.8,19.4,4.9,2.2,3.9
"장애여부별",미등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,30.3,20.2,12.1,6.5,9.9,8.6,1.9,7.2,3.2,0,55,19.7,34.6,1.5,17.5,5.5,16.5,0,4.7,-,-,233,44.9,17.3,10.1,12.3,4.8,5.6,4.5,-,0.6,-,110,39.8,21.3,12,12.4,1.3,9,-,2.6,1.7,-,58,24.6,28.9,6,12,1.5,17.1,2.2,7.7,-
"장애여부별",해당사항없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10214,32.7,18.1,14.8,10,8.8,3.6,4.8,5.1,2,0,9854,36.7,21.1,11.8,7.2,7.4,6,3.5,4.4,1.8,0,9630,38.8,20.1,14.2,7.3,6.2,4.8,4.2,2.7,1.6,0.1,9721,40.7,20.4,13,7.5,5.3,7,2.4,1.7,2,0,9837,38.2,20.8,10.5,9,8.1,5.9,3.5,2.3,1.7
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4189,37.6,22.4,12.1,8.1,8.1,3.3,4.2,2.9,1.3
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,40.1,20.6,10.8,8.5,10.4,3.4,3.5,2,0.7
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,36.1,23.4,7.2,7.9,9.7,6.1,4.4,3,2.3
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1419,39.2,17.3,10.4,10.4,8.1,6.5,3.5,2.2,2.4
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,32.1,24.8,9.2,12,8.8,2.4,7.6,2.1,0.9
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2959,38.1,23.5,11.9,6.7,7.5,3.7,4.3,2.9,1.2
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2802,39,17.8,11.2,10.2,9,5.2,2.9,2.5,2.2
