"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"권역별",대경권,550,9.4,4.6,2.2,4.2,3.9,1.9,3.5,0.2,2.1,0.5,1,0.9,0.4,0.6,0,0.1,0,0,581,15.1,3,3.8,5.8,3.4,4.8,3.5,0.2,1.4,1.3,0.9,0.4,1,0.2,-,0.2,0.2,-,430,15.8,3.6,7.5,4,3,3.4,2.4,0.6,1.8,0.3,0.9,1.4,0.5,0.1,0.5,-,0.3,570,11.7,3.3,5.1,3.9,3.8,4.3,1.5,1.1,2.8,0.9,0.8,0.9,0.7,0.2,0,-,-,-,523,9.8,4.9,5.2,0.9,4.8,2.9,4.1,1.5,4.1,1.1,1.5,0.4,0.2,0.2,-,0.1,0.1,0.1,516,8.6,5.9,3.4,3.1,5,3.4,2.4,3.1,1.9,1.1,0.9,0.7,0.7,-,0.2,-,-
"권역별",동남권,749,8.7,3,4.8,4.4,5.8,6.1,3.1,1.1,3.2,1.3,1.9,1,1.5,0.1,0,0.2,0.7,0,1121,9.7,2.7,2.6,2.2,2.5,1.9,1.6,0.4,1.6,1.2,1.6,0.3,0.9,0.1,-,-,-,-,1020,15.5,2.3,3.8,4,4.2,1.8,1.9,0.6,1.8,1.3,1.8,0.8,0.6,0.2,0.1,0.2,0,960,10.4,3,3.7,2.5,5.4,2.4,1.7,0.3,1.2,0.6,3.2,0.8,0.6,0.2,0.1,-,-,-,682,15.7,5,4.3,2.2,5.9,5.6,5.7,0.7,0.8,0.6,1.6,0.7,-,0.3,-,-,-,-,836,15.8,7.3,3.9,4.4,2.3,1.5,1.7,1.8,1,1,1.4,0.7,0.4,0.2,0.1,0.1,-
"17개 시도별",서울,720,13.8,4.6,6.5,6.5,2.2,2.8,2.7,0.8,0.7,2.7,0.6,0.4,0.1,0.1,0,0.1,0.4,0,695,12.1,2.9,7.1,7.9,3.6,3.7,2.7,0.4,2.6,0.5,1,0.2,0.9,0.3,0.4,-,0.3,-,609,12.6,2.1,4.4,3.1,4.2,2.7,1.6,1,1.1,1.8,1.9,-,0.4,-,-,-,-,691,17.3,6.5,6.3,4.7,3.7,2.1,2.8,0.9,1.5,1.2,1.3,1.1,-,-,0.3,0,-,-,355,15.1,4.5,9.3,5,3.6,1.9,4.1,-,1.4,0.9,2.2,1.3,0.6,-,-,-,-,-,551,9.2,2.6,2.6,4.1,1.9,1.5,2.3,1.3,1.5,1.4,1.2,0.9,0.7,-,0.1,-,-
"17개 시도별",부산,303,9.3,2.9,4.5,6,3.5,7,1.3,0.6,4,0.7,0.9,1.2,1.9,0.1,0,0.4,0.3,0,516,7.7,2.5,2.2,2.5,0.2,0.4,1.7,0.2,0.5,0.8,0.5,0.5,0.8,0.2,-,-,-,-,411,18.7,2.1,4.2,3.8,3.3,2.1,2.4,0.5,1.3,1.9,2.3,0.9,0.2,0.2,-,0.4,-,467,12.5,2.8,1.8,0.8,4.7,3.3,1.7,-,0.9,1.2,2.8,0.2,0.1,-,-,-,-,-,310,16.8,4.6,4.5,1.4,3.5,8.7,4.8,-,0.6,0.7,2.3,0.7,-,0.7,-,-,-,-,319,14.5,4.8,3.2,4.1,1.5,0.8,1.5,2.2,0.3,1.2,1.7,0.8,0.3,0.1,0.3,-,-
"17개 시도별",대구,273,10.2,4.6,3.5,5.5,1.4,1.8,4.4,0,0.5,0,1.2,1,0.2,0.5,0,0.1,0,0,298,14.2,1.7,4.6,5.9,3.7,5.2,4,-,1,1.5,-,-,0.8,0.4,-,-,0.5,-,218,16.8,2.2,8.5,5.9,3.3,3.5,3.3,1,-,-,1.2,1.8,0.7,-,0.7,-,0.7,274,11.3,3.6,3.9,2.9,2.8,5.7,0.8,0.7,1.2,-,0.1,0.8,0.1,-,-,-,-,-,283,8.9,5.3,6.3,0.5,3.7,3.9,1.3,1.6,3.4,0.7,-,0.8,-,0.4,-,0.3,-,-,254,8.3,5.6,1.9,3.2,4.9,1,1.8,3.3,0.2,1.4,0.6,-,0.8,-,0.3,-,-
"17개 시도별",인천,411,12.7,2.5,4.5,7.6,5.3,1.1,1.3,0.1,1.7,3.8,1,0.4,1.2,0.2,0,0.3,0,0,334,16.2,2.9,6,5.7,3.5,1.7,1.4,0.8,2.4,1,1,1.6,0.4,-,-,0.3,-,-,285,12.6,0.5,5.8,1.9,2.1,2.5,2.1,0,2.4,1.2,0.2,1.3,-,-,-,-,-,276,7.3,3.7,3.6,4.3,3.1,1,0.6,-,0.5,1,0.3,3.6,0.9,-,0.9,-,-,-,216,6.6,1.8,3.3,2.4,4.3,4.8,0.5,0.7,1.4,-,1,1.2,-,-,0.4,-,-,-,287,14.8,2.1,3.5,3.8,5.6,3.1,0.8,1.4,1.6,2.7,0.3,0.3,1.2,-,-,-,-
"17개 시도별",광주,115,10.9,9,7.6,8.4,2.9,1.6,1.2,3.4,9.1,1.2,0,1.2,3.1,0,0,0,0,0,91,16,2,10.8,2.8,16,2.1,4.9,3.8,5.6,-,2.6,2.1,2.5,-,-,-,1.6,-,125,14.1,3.7,7.6,3,4.1,4.6,1.2,2.8,3.7,-,1.9,1.4,0.6,-,-,-,-,114,22.6,4.6,7.6,6,2.6,3.3,1.9,0.7,5.6,1,1.5,-,0.8,-,-,-,-,-,186,14.3,5.6,8.1,2.2,3.2,1.3,2.2,1.5,3.2,0.5,0.6,2.5,1,0.6,1.1,1.1,-,-,135,10.8,16.9,5.8,6.8,4,-,3.1,1.8,2.1,0.4,-,-,-,-,-,-,-
"17개 시도별",대전,260,15.8,3.7,6.3,6.7,5.4,3.6,0.7,0,0.9,0.5,1.2,0.8,0.6,0,0.3,0,0,0,261,7,1.9,8.2,6.9,3,0.2,1.3,1.1,-,0.8,0.7,0.4,1.5,0.8,-,0.5,-,-,238,5.4,0.6,2.7,7.2,2.8,2.3,0.2,-,2.5,-,0.7,-,-,-,-,-,-,89,16,6.4,6.7,4.9,1,1.2,7.5,-,6,3.2,1.5,0.7,-,-,-,-,-,-,115,6.5,4,6.8,3.7,9.8,3.4,5.2,-,-,2.4,1.1,-,-,0.5,-,-,-,-,178,13.1,2.7,2,1.4,4.5,3.6,0.6,0.5,2.3,1.3,-,2,0.2,-,-,-,0.4
"17개 시도별",울산,152,17.8,3.9,2.8,1.1,14.7,7.4,2.7,1.4,1.8,4.5,2.3,1.3,0.9,0.1,0,0,1.1,0,206,11.4,4.1,3.1,2.4,4.4,6.2,3.3,0.5,3.1,0.7,2.8,0.6,1.4,-,-,-,-,-,192,15.5,3.6,4.3,3.4,6.4,1.5,4.9,0.4,0.8,0.9,4.7,0.7,0.3,0.2,-,-,-,117,15.2,2.2,6.2,10.7,5.6,0.2,4.5,-,0.3,-,4.9,-,-,-,-,-,-,-,158,8.1,4.8,3.5,2.8,6.7,3.8,3.8,-,0.6,0.6,-,1.7,-,-,-,-,-,-,232,15.7,7.8,4,5.5,3.2,1.1,2.5,0.6,2.1,1.1,2,0.4,-,-,-,-,-
"17개 시도별",세종,63,14,8.7,4.6,4.2,1.7,6.2,2,4.7,9.7,3,0,0,0,0,0,0,0,0,91,13.7,5,21.9,3.2,3.6,2.9,0.3,0.3,1.8,1.2,0.5,-,-,-,-,-,1.4,-,109,18.6,-,3.3,4.9,2.9,0.9,0.8,1.2,1.1,2.7,-,2.7,-,-,-,-,-,21,17.6,-,8.7,-,15.5,2.3,12.2,0.8,-,-,-,2.2,-,-,-,-,-,-,43,16.4,15.9,5.6,6.3,6.6,1.1,-,-,-,-,-,-,-,-,-,-,-,-,71,9.7,6.3,2.5,2.3,3.8,1,2.4,2.7,2.3,2,-,-,-,-,-,1.2,-
"17개 시도별",경기,681,11.4,3.7,6.1,6.1,3.2,4.8,2.6,0.7,2.4,1.9,1.2,0.8,1.5,0.3,0.9,0,0.2,0,748,15.8,4.9,8.3,6,2.8,4.6,0.5,1,2.4,0.2,1.6,0.6,0.5,0.3,-,-,0.3,0.3,681,10.1,4.1,4.8,3.3,2,1.5,1.2,0.2,1.8,1.3,1.8,0.5,0.2,0.1,-,0.3,-,979,14.4,3.3,6.6,5.3,5,3,3.9,0.9,2.6,2.2,1,1,0.5,0.3,0.2,0.4,0,-,493,11.5,5.3,5.1,1.5,2.1,3.6,2.3,0.1,1.3,0.8,0.9,0.7,0.8,0.3,0.1,0.1,0.3,-,430,11,3.3,4.1,2.9,2.6,1.9,0.9,1.1,1.5,1.9,1.2,1.1,0.3,-,-,-,-
"17개 시도별",강원,166,3.4,3.4,0.4,3.9,4.1,3,2.6,1.2,3.1,1,2.1,0.4,0.5,0.7,0,0,0,0,200,1.1,4.1,4.2,3,3.9,1.5,1.1,-,5.5,0.4,0.9,1.7,1.1,0.3,0.2,-,-,-,267,10.8,1,4.7,0.9,3.1,3.6,1.2,0.9,2,-,0.2,-,0.6,-,-,-,0.6,93,8.9,4.1,3.2,4.4,8.7,4.8,-,2.5,3.8,5.9,2.6,-,-,-,-,-,-,-,144,10,4,5.8,2.8,5.7,2.8,1.5,1.3,2.7,1.5,2.8,2.5,-,-,-,-,-,-,222,8,1.4,2.8,1.3,5,4,1.4,2.6,0.8,0.2,1.6,1.2,0.4,-,-,-,-
"17개 시도별",충북,238,5.8,0,3.7,2,5.6,4.9,0.8,1.6,4.2,2.9,0.4,0.6,0.4,0,0,0,0,0,274,9.3,1.9,9.5,3.6,6.1,2.5,2,0.4,4,3.5,-,-,2,-,-,0.5,0.2,-,288,5,1.3,2.5,1.4,1.5,5.3,0.2,0.1,2.3,2.1,-,-,-,-,-,-,-,126,7,2.6,2.8,2.5,5.1,1.1,6.8,-,2.9,-,1.8,0.9,1.2,1,-,-,-,-,109,18.3,6.6,2.5,0.6,9,6.5,1.5,0.6,2.5,-,3.5,0.7,-,-,-,-,-,-,175,8.3,2.4,3,1.1,5.6,2.4,1.2,1,2.1,0.7,1.1,-,0.6,-,-,-,-
"17개 시도별",충남,296,12.1,5,6.3,7.3,4.8,1.9,2.2,0.2,2.5,0.5,0,0.5,0.3,0,0,0,0,0,257,11.1,3.6,5.2,5.5,4.4,3.5,-,-,2.1,2.3,1.5,0.6,0.5,-,0.9,1.2,-,0.3,165,13.6,2.5,4.2,1.1,3.5,1.5,1,-,0.7,-,0.9,2.9,0.8,-,-,-,-,142,9.8,2.9,2.6,7.5,8.9,5.3,0.9,0.3,2.3,1.4,1.2,2.8,-,-,-,-,-,-,141,4.5,5.2,2.4,2.4,6,3.7,2,2,0.5,1.6,1.5,0.7,0.8,-,-,-,-,-,91,9.6,1.8,4.7,-,1.7,2.5,-,1,-,0.9,-,1,-,-,-,-,-
"17개 시도별",전북,130,14.8,2,14.5,3.3,13.1,8.4,1.9,1.9,1.9,0.5,0,1.7,3.6,1.5,0,0,0,0,99,23.5,2.4,9.6,18.4,10.1,2.9,6.1,1,3.7,0.4,2.5,-,1.3,-,-,-,-,-,264,12.3,4.4,5.3,3.2,5,3.2,0.3,0.5,3.5,1,-,1.2,0.8,0.2,-,-,0.3,139,10.2,5.7,2.9,2.5,3.2,3.7,-,-,3.1,2.5,2.1,-,0.8,-,-,-,-,0.2,154,20.3,6.8,12.7,1.1,9.3,3.4,4.2,1,1.9,0.7,0.6,-,1.2,0.8,-,-,-,-,97,7.8,2.4,10.9,2,3.2,2.5,2.1,4,1.6,0.4,-,-,-,-,-,-,-
"17개 시도별",전남,79,11.2,2.9,20.1,5.9,5.7,0.8,0.7,3.9,2,2.7,1.2,1.3,0,0,0,0,0,0,87,12.5,6.8,6.9,7.6,8.2,1.4,1.6,2.2,4.5,1.3,2,-,5.3,-,1.6,-,-,-,225,3.6,2.3,6.1,0.5,5.7,5.5,-,1.3,3.1,1.4,0.8,-,0.9,-,-,-,-,151,10.4,11.4,5.8,1.1,4.9,3.8,1.6,2.6,0.7,0.5,-,0.7,-,-,-,-,-,-,166,4.9,4,-,1.8,5.8,2.4,2,-,2.6,0.4,3,0.7,1.6,-,-,-,-,-,217,7.6,3.3,3.2,1.2,3,2.8,2.4,-,0.9,-,-,-,0.4,0.7,-,-,-
"17개 시도별",경북,277,8.6,4.6,0.9,2.8,6.5,2.1,2.6,0.4,3.7,1.1,0.8,0.8,0.7,0.6,0,0,0,0,283,16,4.3,3,5.7,3,4.4,2.9,0.3,1.8,1,1.8,0.8,1.2,-,-,0.4,-,-,212,14.7,5,6.5,2,2.6,3.3,1.4,0.2,3.6,0.6,0.7,0.8,0.4,0.2,0.3,-,-,296,12.1,3,6.4,4.9,4.8,2.9,2.2,1.5,4.3,1.8,1.6,1,1.2,0.3,0.1,-,-,-,240,10.8,4.4,3.8,1.3,6.1,1.7,7.3,1.4,4.9,1.5,3.1,-,0.4,-,-,-,0.3,0.3,262,8.9,6.2,4.7,2.9,5.2,5.7,3,2.9,3.4,0.8,1.3,1.3,0.5,-,-,-,-
"17개 시도별",경남,294,5.3,2.9,5.7,3.8,5.7,4.8,5.1,1.6,2.9,1,2.9,0.6,1.2,0,0,0,1,0,399,11.8,2.5,3.1,1.7,4.9,2.6,1,0.7,2.6,2,2.6,-,0.8,-,-,-,-,-,417,12.3,2.1,3.3,4.5,4.5,1.5,0.5,0.8,2.7,0.7,0.4,0.6,1.2,0.3,0.2,0.1,0.1,376,6.3,3.5,5.1,2,6.2,1.9,0.9,0.7,1.9,0.1,3.2,1.7,1.4,0.4,0.3,-,-,-,214,17.3,5.7,4.2,3.1,8.9,1.9,7.6,1.9,1.1,0.5,1.2,0.5,-,-,-,-,-,-,285,17.3,9.8,4.7,4.3,2.6,2.4,1.6,1.9,1.2,0.8,0.8,0.9,0.7,0.4,-,0.2,-
"17개 시도별",제주,163,4.4,4.2,4.5,1.8,8.4,1.9,0,0,1.5,1.9,1.4,0,0.2,0,1.8,0,0,0,174,6.3,6,4.8,2.8,5.1,3.4,2.4,-,1.5,0.9,-,2.3,1.1,0.8,0.3,-,-,-,105,9.2,6.8,10.4,4.3,4.8,7.4,-,-,-,0.5,1.6,1.7,3.1,0.4,-,-,-,50,18.1,4.8,19.3,4.3,11.6,8,-,-,1.7,-,-,-,-,1.4,-,-,3.1,-,213,6.4,2.4,5.2,1.1,7,2.7,1.4,-,2.4,0.2,4,0.3,0.4,1.9,0.5,-,-,-,120,11.2,5.8,4.4,8,6.8,5.3,1.1,2,1.2,0.6,0.9,2.8,-,0.6,0.5,-,-
"장애여부별",장애등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,2.7,-,0.8,10.2,-,-,3.1,-,0.3,1.2,-,-,-,-,-,-,-,-,65,6.7,-,1.7,5.7,-,8.3,-,-,0.9,-,1.1,-,-,-,-,-,-,77,5.7,1.5,1.7,1,3.9,0.5,0.7,-,0.9,1.7,2.9,-,-,-,-,-,-,-,53,2.3,5.8,-,4.6,4.5,6.6,4.8,-,2.4,3.8,-,-,-,6.2,-,-,-,-,38,3.5,-,-,-,-,3.9,-,-,-,-,-,-,-,-,-,-,-
"장애여부별",미등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,3.9,0.9,3,2.8,-,3.7,-,-,3.7,-,0.5,1.4,-,-,-,-,-,-,20,14.6,-,-,1.5,-,1.7,-,6.6,-,-,-,-,-,-,-,-,-,71,9,1.2,10.1,-,1.1,7.4,5.3,-,1.4,-,1.3,-,1.4,-,0.6,-,-,-,52,20.4,2.7,8.1,5.8,2.9,2.7,-,-,1.3,-,1.3,-,-,-,-,-,-,-,35,4,-,-,-,2.5,-,5,-,2.6,3.7,2.5,-,-,-,-,-,-
"장애여부별",해당사항없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4906,12.9,3.6,6.4,5.6,3.6,3.4,1.7,0.6,2.3,0.8,1.3,0.5,0.9,0.3,0.2,0.1,0.2,0.1,4726,11.9,2.8,4.8,3.2,3.4,2.4,1.4,0.6,1.9,1.2,1.4,0.6,0.4,0.1,0,0.1,0.1,4253,13,4.3,5.3,4.2,4.8,2.9,2.5,0.7,2.2,1.4,1.5,1.1,0.4,0.2,0.2,0.1,0,0,3435,12.1,4.9,5.7,2.2,4.4,3.5,3.3,0.6,1.7,0.8,1.5,0.9,0.5,0.2,0.1,0.1,0.1,0,3853,11.3,4.3,3.7,3.5,3.2,2.2,1.6,1.6,1.4,1.3,1,0.8,0.5,0.1,0.1,-,-
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1720,13.2,6.2,4,2.7,4,1.8,2.2,2.1,1.8,1.8,1.3,0.6,0.5,0.1,-,-,-
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,16.5,3.3,4.2,3.1,4.6,1.4,1.9,2,1.2,0.5,0.7,-,0.1,-,-,-,-
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,9.6,1.2,7.9,3.1,2.4,2.1,0.8,2.8,2.2,1.3,1.6,0.5,-,-,-,-,-
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527,7.1,5.2,2.3,1.8,3.3,4,2.1,1.1,1.2,2,0.7,-,0.1,0.2,-,-,-
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,11.3,5,6.8,2.2,4.7,1.2,0.8,4.9,2.1,-,2.1,1.8,-,-,-,-,-
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233,12.5,6.2,4.1,3.1,3.6,1.9,2.3,1.8,1.8,2.1,1.2,0.1,0.5,0.1,0.1,0.1,-
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1088,11.1,4.9,3.1,2.1,3.7,3,2,1.4,1.4,1.9,0.8,0.5,0.3,0.1,-,-,-
