"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기
"전체",소계,4621,9.1,4.4,4.1,0.6,0.9,0,1.4,2.3,1.4,1.1,0.3,1.9,0.5,0.6,0,0.2,0.2,1,0.1,0.1,0,0.1,5013,7.8,1.4,3.5,1.2,1.9,1.2,0.8,3.3,0.8,0.9,0.6,2.1,0.6,0.4,0,0.1,0.2,0.7,0,0.1,0.1,0.1,4811,9.2,4.7,4,1.9,1.3,1.6,1,1.8,1.6,0.5,0.5,0.7,0.7,0.1,0.5,0.2,0.1,0.3,0,0,0,4401,6.4,6.8,5.2,1.9,1.1,1.2,1.1,2.4,2,0.9,0.9,0.8,0.6,0.4,0.4,0.1,0.1,0.7,0.1,0.1,0.1,0.2,3540,7.8,5.1,5.2,2.8,1.4,1.2,0.7,2.9,2.2,1.1,0.7,1.2,0.9,0.2,0.7,0.1,0.3,0.8,0.1,0.2,0.1,3926,5.6,4.9,4.6,3.3,2.2,2.1,1.7,1.5,1.5,0.8,0.8,0.6,0.6,0.5,0.4,0.2,0.2,0.2,0.1,-,-,-
"성별",남성,2385,12,4.1,5.8,0.3,0.4,0,2.2,4.3,1,0,0,1.7,0.1,0.4,0,0.2,0.1,1.7,0.2,0.1,0,0.1,2565,11.3,0.9,5.4,0.5,1,0.3,1.2,6.1,0.6,0.1,0.1,2.5,0.1,0.4,0,0.1,0.2,1.4,0,0,0.1,0,2473,11.1,4.4,6.7,1.6,0.7,0.9,1.8,3.2,1.6,-,0.2,0.9,0,0.1,0.5,0.2,0.1,0.5,0,0,0,2367,7.7,6.1,7.7,0.9,0.8,0.7,1.7,4,1.2,0,0.2,0.3,0.1,0.5,0.2,0.1,0.1,1.2,0.1,0.1,0,0.2,1952,9.4,4.6,8.1,1.6,1,0.6,1,4.5,1.8,0.1,0.2,1.2,0,0.1,0.6,0.1,0.3,1.5,0,0.1,0,1985,7.8,4.8,6.8,1.6,1.4,0.9,3,2.7,1,-,0.1,0.3,0.1,0.5,0.2,0.2,0.2,0.3,0.1,0.1,-,-
"성별",여성,2236,5.7,4.7,2.2,0.9,1.4,0,0.4,0.1,1.8,2.2,0.6,2.2,1,0.9,0,0.3,0.3,0.1,0,0.2,0,0,2448,4.2,1.9,1.6,2,2.8,2,0.5,0.3,1.1,1.7,1.1,1.7,1.1,0.3,0,0.1,0.3,0,0,0.1,0,0.2,2338,7.3,5,1.2,2.1,2,2.2,0.2,0.4,1.5,1.1,0.7,0.4,1.4,0.2,0.6,0.2,0.1,0,-,0,0,2034,4.8,7.7,2.2,3.1,1.5,1.9,0.4,0.4,2.8,2,1.7,1.3,1.2,0.3,0.6,0.2,0.2,0.1,0,0.1,0.1,0.1,1588,5.8,5.8,1.6,4.2,1.9,1.9,0.3,0.9,2.8,2.3,1.4,1.2,2,0.4,0.9,0.2,0.3,0,0.1,0.3,0.2,1941,3.2,5,2.3,5.2,3.1,3.4,0.4,0.3,2.1,1.6,1.5,0.9,1.1,0.5,0.5,0.3,0.2,-,-,-,-,-
"연령별",15~19세,365,0,13.7,14,0.6,1.3,0,0.9,0.4,2.5,0,0,11.1,0.2,0,0,1,0.7,0,0.1,0,0,0.3,297,0.2,5.7,18.5,0,0.7,0,0,0,2.7,0.8,0,8.6,0.2,0,0,0,0.4,0.4,0,0,0,0.3,266,-,8.3,18.2,0.7,0.5,-,0.2,-,0.7,-,-,0.8,-,-,4.5,-,0.9,-,-,-,0.3,297,0.7,11.9,20.8,2.4,0.5,-,-,0.3,3.5,0.7,0.5,3.8,0.7,-,2.5,0.3,0.7,0.3,-,-,-,0.3,210,0.2,7,17.2,3.5,2.1,-,-,1,2.3,-,-,6.2,-,-,3.5,-,1.9,-,-,1.1,-,160,-,5.8,19.8,4.5,-,-,-,-,1.5,1,-,1.8,-,-,4.1,-,3.3,-,-,-,-,-
"연령별",20대,722,1.1,8.2,7.3,0.6,1.1,0,0.6,0.4,2,0.5,0.2,4.4,0.9,0,0,0.8,0.3,0.4,0.1,0,0,0,680,0.2,1.4,9.2,1,1.8,0,0.5,0.2,2.7,0.6,0.3,7.6,0.7,0,0,0.3,0.8,0,0,0,0.2,0,710,0,9.5,9.8,4.9,0.5,0.3,0.7,0.4,2.9,0.1,0.5,2.2,1.1,-,1.5,0.7,0.3,-,-,-,0.2,751,1.2,8.1,13.1,3.7,0.5,0.6,1,0.4,2.4,0.5,1,2.1,0.4,0.3,0.9,0.2,0.3,-,0,-,0.2,0.4,657,0.4,7.4,10.1,5,2.6,-,0.4,0.3,3.2,0.8,0.6,1.6,0.9,-,1.2,0.3,0.3,-,0.2,0.4,0.4,576,1.6,6.8,9.3,3.8,1.1,-,1.4,0.7,1.1,0.2,-,1.5,0.2,-,0.7,1.3,0.5,-,-,-,0.2,-
"연령별",30대,790,3.2,8.2,5.2,0.5,1.1,0,1.4,1.8,1.5,0.9,0.4,1.3,0.6,0.1,0,0,0.3,0,0,0,0,0,778,1.1,2.5,4.1,1.8,1.5,0.5,1.6,2.5,0.7,0.5,0.7,1.1,0.3,0,0,0.1,0,0,0,0.1,0,0,785,0.2,8.2,6.8,1.9,1.9,0.8,0.8,2,1.9,1.9,1.1,0.1,1.1,-,0.2,0.4,-,-,-,-,-,767,1.5,9.5,6.7,1.5,2,0.2,1.2,2,2.3,1.2,1,0.1,0.4,-,0.2,0.3,0.1,0.4,-,0.3,0.1,0.3,582,2.7,8.1,9.1,3.1,2,-,0.6,2.7,2.5,0.9,0.8,1.2,1.3,0.1,0.6,0.4,0.1,-,-,0.2,0.1,606,0.8,8.2,8.9,2.9,3.4,0.4,1.6,1.3,2.2,0.4,0.1,0.8,0.4,0.1,0.3,-,-,-,0.3,0.1,-,-
"연령별",40대,971,8.9,1.8,3,0.5,1,0,1.8,4,1.3,1.8,0.4,0.5,0.5,0.1,0,0,0,0.4,0.1,0.4,0,0.2,1068,8.8,1.3,1.6,0.6,2.8,0.9,0.7,3,0.3,1.4,1,0.9,0.6,0.3,0,0,0,0.1,0,0,0.1,0,955,9.5,4.6,1.8,1.3,2.7,0.5,1.2,1.8,2.2,0.7,0.1,0.3,0.8,-,0.2,-,0,-,0.1,0,-,882,5,8.5,1.9,1.4,0.9,1.1,1.4,3.3,2.4,1.5,0.7,0.4,0.8,0.2,0.3,-,-,0.1,0.2,0.1,-,-,643,7.6,5.2,3.1,1.9,1.6,0.5,0.4,5,2.6,1.8,0.5,0.5,1.3,0.2,0.7,0.1,-,0.3,0.1,-,-,683,3.7,5.6,3.4,4,2.6,0.8,1.3,1.4,1.3,1.6,0.9,0.1,0.9,0.3,0.2,-,-,-,-,-,-,-
"연령별",50대,899,17.6,1.1,1.4,0.5,0.3,0,1.9,3.8,1,1.6,0.1,0,0.6,0.2,0,0.1,0,1.4,0.1,0.2,0,0,1020,16.1,0.4,0.8,0.8,1.6,1.5,0.6,6.2,0.2,1.1,0.6,0.6,0.4,0.2,0,0.1,0,1.1,0,0.2,0,0,936,21.3,1.9,0.4,0.9,0.8,0.9,1.4,3.8,0.3,0.3,0.4,1,0.3,-,-,-,0.1,0.4,-,0,-,840,11.1,6.2,0.7,2,1.1,1.1,1.4,3.5,1.4,0.7,1.5,0.1,0.3,0.2,-,0.2,-,1,0,-,-,0.2,713,13.7,3.1,1.5,1.9,0.4,1.3,1.3,3.2,2,2,1.2,0.9,1,-,0.4,-,-,0.5,0.1,-,-,769,8.2,3.3,0.7,4.4,2,1.7,2.5,2.8,2.3,1.4,0.9,0.4,0.5,0.5,-,0.2,0.1,-,-,0.1,-,-
"연령별",60대,518,20.4,0,1.1,0.6,0.5,0,1.3,2.4,0.5,0.6,0.4,0.3,0,0.9,0,0,0.2,2.8,0,0,0,0,687,15.8,0.4,0,1.4,1.8,1.5,1.2,4.9,0.2,0.7,0.2,0,1.7,0.6,0,0,0,2.4,0,0,0,0.1,643,20.6,1.5,0.4,1.5,1.4,2.1,1.1,2.4,1.2,0.1,0.8,0.1,0.5,0.1,-,-,0.1,0.3,-,-,-,538,14.5,1.7,0.1,1.2,1.4,3.3,1.1,3.6,0.8,1,0.3,0.2,1.4,0.2,-,-,-,1.7,-,-,-,-,454,17.4,3.3,0.2,1.5,0.2,4.1,0.6,4.9,1.6,0.2,0.5,0.7,0.1,0.8,-,0.1,0.5,2.3,-,-,-,687,13.9,3.3,0.7,2,1.9,5.7,1.8,2.2,0.9,0.4,1.2,0.4,0.8,0.6,0.1,-,-,0.4,-,-,-,0.1
"연령별",70세이상,356,11,0,0,1,1.4,0,0.5,0.9,1.6,0.9,0.3,0.8,0.1,6.3,0,0,0,3.4,1.3,0,0,0,483,4.5,0.2,0,3.1,2.4,4.3,0.5,3.7,0.4,0.4,0.3,0.1,0.1,2,0,0,0.7,1.3,0,0,0,0.5,516,3.1,-,0.3,1.3,0.3,7.5,1.1,0.3,1.1,0.1,-,0.3,0.5,1.1,-,-,-,1.3,-,-,-,326,10.3,0.7,1.1,1.1,1.4,3.3,0.4,1.8,1.5,-,0.6,0.5,0.2,2.8,-,-,-,2.3,0.2,-,-,-,281,10.3,0.4,0.2,2.2,0.6,3.6,1.9,1.3,0.3,0.5,1.3,0.2,0.6,0.9,-,-,0.5,5.1,-,-,0.2,445,5.8,0.5,0.6,1.8,3.3,6.2,2.1,0.6,1,-,2,-,0.9,2.3,-,-,-,1,-,-,-,-
"학력별",초졸 이하,346,5.1,5.4,3.9,1.4,1.3,0,0.6,0.4,1.9,0.5,0.6,3.5,0.1,5.8,0,0,0,1.8,0,0,0,0,294,4.3,1,1.8,5,1.4,4.8,1,3.8,0.9,0.6,0,1,0,3.1,0,0,0,2.4,0,0,0,0.4,437,5,1.3,2.9,0.7,0.6,8.2,0.6,1,0.2,0.1,0.3,0.5,0.6,1.6,0.3,-,0.3,0.1,-,-,-,318,5.5,2.9,6,1.9,0.9,4.9,0,1.8,2.3,0.5,0.8,1,1.5,2.7,0.2,0,0,0.6,0.2,0,0,0,234,9.3,3.6,3.6,4.3,0.4,3.8,2.3,1,0.2,1,1.5,-,0.6,2.6,0.6,-,0.7,2.5,-,-,0.3,297,4.6,0.9,4,1.5,3.5,7.7,2.3,1.5,0.5,-,0.9,0.6,0.5,2.8,0.7,-,0.9,1.3,-,-,-,-
"학력별",중졸,538,11.3,4.9,5.3,0.8,1.7,0,0.7,1.2,1.5,0.1,0.4,5.2,0.2,1,0,0.5,0.5,1.9,0.1,0.1,0,0.2,603,4.6,1.4,6.3,1.7,1.2,2.1,0.5,1.4,1.2,0.8,0.1,3.5,0.6,0.5,0,0,0.2,1,0,0,0,0.6,502,12.5,3.4,6.6,1.8,0.6,2.5,0.9,1.3,0.6,-,0.2,-,0.1,-,1.9,-,0.2,1.2,-,-,-,411,8.7,5.8,8.9,1.4,1.3,1.4,1,1.8,2.1,0.9,0.5,1.8,0.4,0.6,1.3,0.2,0.5,1.4,0,0,0,0.2,325,10,3.4,7.1,1.9,0.7,3,0.3,2.4,1.2,1.1,0.9,3.5,-,-,1.8,-,0.4,2.2,-,-,-,382,5.7,2.6,6.7,2.2,1,5.5,2,1.7,0.9,0.9,0.6,0.4,0.6,1.3,1.5,-,0.5,0.3,-,-,-,-
"학력별",고졸,1834,10.8,3.8,4.9,0.5,0.5,0,1.5,3,1.4,1.3,0.1,1.2,0.4,0.2,0,0.2,0.2,1.1,0.3,0.2,0,0,2125,10.2,1.3,4.4,1.1,2.7,1.2,1,4,0.9,0.9,0.8,2.4,0.7,0.2,0,0.1,0.2,0.6,0,0.1,0,0,1921,11.8,4.6,4.4,2.3,1.6,1,1.5,2.2,0.8,0.4,0.4,0.8,0.8,0,0.6,0,0,0.1,-,0,0,1695,7.7,6.6,5.3,2.3,1.3,1.3,1.5,3.2,1.7,0.8,1.3,0.7,0.4,0.3,0.4,0.1,0.2,1,0,0,0,0.1,1308,8.3,5.5,6.6,3.3,1.9,1.1,0.7,3.7,2.1,1.1,0.9,1.1,1,0.2,0.6,0.1,0.4,0.9,0.1,0.2,-,1479,6.7,4.5,4.2,4.2,2.1,2.2,2.2,1.6,1.5,1.2,1.3,0.4,0.9,0.3,0.2,0.4,0.2,0.1,-,0.1,0.1,0.1
"학력별",대졸이상,1903,7.6,4.6,3.2,0.4,1,0,1.5,2.3,1.3,1.1,0.3,1.6,0.7,0.2,0,0.2,0.1,0.6,0,0.1,0,0.1,1991,6.5,1.5,2.1,0.8,1.4,0.4,0.7,3,0.7,0.9,0.5,1.5,0.5,0.2,0,0.1,0.2,0.6,0,0.1,0.1,0,1951,6.8,5.6,3.2,1.7,1.3,0.5,0.7,1.7,2.8,0.9,0.6,0.8,0.7,-,0.2,0.4,0.2,0.2,0,0,0.1,1977,5,7.9,4.3,1.7,1,0.6,1,1.8,2.1,1.1,0.6,0.6,0.6,0.1,0.3,0.2,0,0.3,0.1,0.2,0.1,0.2,1673,6.9,5.3,4,2.3,1.2,0.6,0.6,2.5,2.8,1,0.5,1.1,0.9,0,0.6,0.2,0.2,0.4,0.1,0.2,0.2,1768,4.8,6,4.6,3.1,2.4,0.8,1.2,1.5,1.7,0.5,0.3,0.8,0.3,0.2,0.2,0.2,0.1,0.1,0.1,-,-,-
"동거가구원수별",1인,385,8.6,2,2.7,1.2,1.3,0,0.7,2,0.8,0.7,0.5,1.3,0.6,3.2,0,0.2,0,0.7,0,0.2,0,0,1040,7.1,0.7,2.2,3.3,2.3,3.2,0.9,3.4,0.6,0.7,0.2,1.2,0.4,0.9,0,0,0,1.1,0,0,0.2,0.3,814,8.4,4.4,4.5,1.6,0.9,2.4,2,1.9,0.5,0,0.9,1,0.9,0.3,1.1,-,0.2,0.3,-,0.1,-,732,6,7.6,5.1,3,1.8,1.8,1.1,3.2,1.9,0.5,0.6,0.6,1,1,0.1,0.2,-,0.5,0.4,-,-,-,645,6.8,4.3,5.4,2.4,1.1,1.2,0.9,2.1,2.5,1.3,0.9,1.4,0.9,0.6,0.6,1,0.4,0.8,0.1,-,0.2,666,3.3,3.4,5.6,4,1.5,4,3,1.2,0.6,0.1,0.4,0.3,0.6,0.8,0.1,-,-,0.7,0.1,0.2,-,-
"동거가구원수별",2인,918,14.8,1.2,1.6,1,0.9,0,1.2,2.5,1.2,0.8,0.4,0.6,0.3,2.3,0,0,0.1,2.2,0.2,0,0,0,947,8.5,1.3,0.7,2.8,2,1.7,0.9,3.5,0.3,0.9,0.2,0.1,0.2,0.8,0,0.1,0,1.1,0,0.1,0,0.1,1287,11.4,2.5,2.4,2,1.3,2.8,1.3,2.4,0.8,0.2,0.5,0.3,0.4,0.5,0,-,0,0.6,-,-,-,1047,9.6,4.5,2.5,1.3,1.1,3,0.8,2.8,1.4,1,0.8,0.3,1.2,1,0.4,-,-,1.5,-,-,0.1,0.3,882,11,4.6,3.7,2.9,1.3,2.2,1.2,3.8,1,0.8,0.6,0.7,0.5,0.3,0.1,-,0.3,1.6,0.1,-,-,1153,7.4,2.8,2.3,3.9,2.1,3.4,2.4,2.5,1.5,0.7,1.2,0.5,1,0.2,0.3,-,0.1,0.2,-,0.1,-,0.1
"동거가구원수별",3인이상,3318,8.1,5,4.6,0.5,0.9,0,1.4,2.3,1.5,1.1,0.3,2.2,0.5,0.3,0,0.3,0.2,0.7,0.1,0.1,0,0.1,3026,7.7,1.5,4.3,0.6,1.9,0.8,0.8,3.2,1,0.9,0.7,2.6,0.7,0.2,0,0.1,0.3,0.6,0,0.1,0,0,2710,8.6,5.5,4.5,1.9,1.4,1,0.8,1.6,2,0.7,0.4,0.8,0.8,-,0.6,0.3,0.2,0.1,0,0,0.1,2622,5.5,7.4,6,2,1.1,0.7,1.2,2.2,2.1,0.9,0.9,0.9,0.4,0.2,0.4,0.2,0.1,0.5,0,0.1,0.1,0.2,2013,6.8,5.5,5.7,2.8,1.5,0.8,0.5,2.7,2.7,1.1,0.7,1.4,1,0.1,1,0,0.3,0.6,0.1,0.3,0.1,2107,5.2,5.7,5.3,3.1,2.3,1.5,1.4,1.2,1.6,0.9,0.6,0.7,0.5,0.6,0.4,0.3,0.3,0.1,0.1,-,-,-
"혼인상태별",미혼,1328,1.2,9.8,9.3,0.6,1,0,0.7,0.7,2.1,0.3,0.2,5.9,0.6,0,0,0.7,0.6,0.2,0.1,0,0,0.1,1395,0.4,2.7,10,0.5,1.7,0,1,0.5,2.2,0.5,0.2,6.2,0.5,0.1,0,0.2,0.5,0.1,0,0.1,0.1,0.1,1366,0.9,8.6,11.1,3.5,1.1,0.2,1.1,0.8,2.1,0.1,0.8,1.5,0.9,-,1.8,0.4,0.4,0,-,-,0.1,1478,1.9,8.9,14.1,3.1,0.7,0.3,1.1,1.2,2.6,0.7,0.4,1.9,0.4,0.1,1,0.2,0.3,0.3,0.1,0,0.2,0.3,1201,1.9,6.4,12.2,3.8,2.2,0,0.5,1,3.1,0.9,0.5,2.4,0.5,0,1.4,0.3,0.5,-,0.2,0.4,0.3,1084,1.4,6.4,12,3.9,1.6,-,1.4,0.8,1.7,0.3,-,1.2,0.3,-,1.2,0.7,0.7,-,0.2,0.1,0.1,-
"혼인상태별",기혼,3015,12.2,2.3,2.1,0.5,0.7,0,1.7,3,1.2,1.4,0.3,0.3,0.5,0.6,0,0,0,1.3,0.2,0.2,0,0.1,2982,10.4,1,1.3,1.1,2,1.2,0.7,4.4,0.3,1,0.6,0.6,0.7,0.4,0,0.1,0.1,0.9,0,0.1,0,0,2918,12.5,3.4,1.5,1.3,1.3,1.6,1,2.3,1.5,0.8,0.3,0.3,0.5,0.2,0.1,0.1,0.1,0.4,0,0,-,2491,8.5,6.1,1.5,1.3,1.3,1.4,1.1,2.9,1.7,1,1.1,0.3,0.5,0.4,0.2,0.1,0,0.9,0,0.1,0,0.1,1997,11.2,4.6,1.6,2,0.9,1.5,0.9,3.9,1.8,1.2,0.9,0.4,1,0.2,0.4,0,0.1,1.2,0,0.1,-,2445,7.3,4.4,1.7,3.3,2.5,2.7,1.9,1.9,1.6,0.9,1,0.4,0.7,0.4,-,0.1,-,0.2,-,-,-,-
"혼인상태별",사별/이혼/기타,278,11.7,0.2,0.6,1.6,2.4,0,0.1,1.7,0.9,1.4,0.4,0.1,0.1,6.4,0,0,0,1.2,0,0,0,0,636,11.6,0.2,0.2,4.9,1.9,4.6,1.8,3,0.3,1,1.3,0.2,0.4,1,0,0,0,1.5,0,0,0,0.6,527,11.2,1.7,0.2,1.4,2.1,5.9,1,1.3,0.4,0.2,0.2,0.6,0.9,0.3,0.1,-,0.1,0.2,-,0.1,-,432,5.7,4.7,1.5,2.6,1.5,3.6,1.5,2,1.8,1.1,0.9,0.4,2.1,1.3,0,0,0,0.2,0.2,0,0,0,342,9.2,3.2,0.4,3.4,0.8,3.6,0.2,3.5,1.6,1.1,0.8,1.6,1.6,1.7,0.3,0.2,0.5,2.3,-,-,0.2,397,6.5,2.7,1.8,1.6,2.3,5.6,1.1,0.8,-,1.3,1.5,0.2,0.5,4.1,-,-,0.3,0.8,-,-,-,-
