"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"가구주여부별",가구주,2106,14.9,2.5,2.8,0.5,0.4,0,2.3,4.8,1.1,0.4,0.1,0.5,0.1,0.7,0,0,0,2,0,0.1,0,0.1,2654,13.3,0.8,1.9,1.2,1.4,1,1.2,6.7,0.3,0.3,0.3,0.9,0.1,0.5,0,0.2,0.1,1.3,0,0,0.1,0.1,3138,12.1,3.3,3.5,1.1,1.3,1.8,1.7,2.9,1.4,0.2,0.3,0.6,0.4,0.1,0.3,0,0.1,0.5,0,0,0,2186,9.4,6.2,2.6,1.3,1.2,1.5,1.7,4,1.1,0.3,0.3,0.1,0.5,0.7,0,0,-,1.3,0.1,0.1,-,0.1,1804,11.7,4.1,3.8,1.7,0.9,1.3,1.3,4.8,1.8,0.4,0.3,0.9,0.3,0.3,0.4,0.3,0.3,1.8,0.1,0.1,0.1,2015,8.7,4.5,3,2.2,1.4,1.7,3.1,3,1,0.3,0.4,0.3,0.4,0.8,0.2,-,0.1,0.4,-,0.1,-,-
"가구주여부별",가구주 아님,2515,4.7,5.8,5.1,0.6,1.2,0,0.6,0.5,1.7,1.6,0.4,3,0.8,0.6,0,0.4,0.3,0.2,0.2,0.1,0,0,2359,3.1,1.9,4.9,1.2,2.4,1.3,0.5,0.4,1.3,1.3,0.8,3.1,1,0.2,0,0,0.3,0.2,0,0.1,0,0.1,1673,5.6,6.3,4.6,2.9,1.4,1.2,0.2,0.5,1.8,1,0.6,0.8,1,0.1,0.8,0.4,0.2,-,-,-,0,2215,3.9,7.3,7.3,2.4,1.1,1,0.6,1.1,2.7,1.4,1.4,1.3,0.7,0.1,0.7,0.2,0.2,0.2,-,0.1,0.1,0.3,1736,4.3,6.1,6.4,3.7,1.8,1,0.2,1.1,2.6,1.7,1.1,1.5,1.4,0.2,1,0,0.3,-,0.1,0.2,0.1,1911,3.1,5.1,5.9,4.3,2.9,2.4,0.6,0.4,1.9,1.2,1,0.9,0.8,0.2,0.5,0.4,0.4,-,0.1,-,-,-
"종사자지위별",상용근로자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,8.6,5.7,4.9,1.6,1.7,0.8,1.4,2.5,2.3,0.5,0.2,0.5,0.7,0,0.3,0.3,0.2,0.2,0.1,-,0.1,1434,5.7,8.3,5.3,1.2,0.7,0.9,1.6,2.8,1.9,0.4,0.3,0.2,0.5,0.3,0.1,0.1,-,0.5,0.1,0.1,-,0.1,1232,8.3,6,6.6,2.7,1.2,0.6,0.8,3.6,2.4,1,0.6,1.1,0.6,0.3,0.6,0.2,0.4,0.5,0.1,0.1,0.2,1325,5.7,5.7,5.2,3.5,1.7,0.5,2.3,1.7,1,0.3,0.2,0.6,0.3,0.5,0.2,0.3,0.2,-,0.1,-,-,0.1
"종사자지위별",임시근로자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,8.3,5.9,5.7,3.4,1.4,3.4,1.5,1.2,0.4,-,4.2,1.5,0.4,0.5,0.1,-,0.2,1,-,-,-,188,8,6.2,5.1,3.9,2.2,2.5,2.8,2.8,1.8,1.3,1.3,0.6,1.2,-,0.1,-,-,0.7,-,-,-,0.4,202,5.7,6.1,4.9,4.5,1.4,-,0.7,2.8,1.3,1,0.8,0.3,0.5,0.7,0.2,-,-,0.8,0.8,1.2,-,235,4.1,1.4,4.3,5.4,2,3.2,0.3,1.2,0.6,2.4,0.2,-,0.8,1.3,0.3,-,0.6,-,-,0.1,-,-
"종사자지위별",일용근로자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5.9,1.7,4.1,6.9,-,-,1.1,1.8,-,-,0.9,5.4,-,1.1,-,-,-,-,-,-,-,48,8.8,0.6,4.5,6.9,2.6,4.5,2.3,6.2,-,-,2.1,1.3,-,-,-,-,-,-,-,-,-,-,66,10,3.7,9.9,3.5,-,2.5,3,5.7,-,-,-,-,-,-,5.8,-,-,1.1,-,-,-,77,3.2,5.8,4,-,1.9,1.3,6.5,3.2,1.1,0.9,4.9,-,-,1.9,-,-,-,0.7,-,-,-,-
"종사자지위별",고용원이 있는 자영업자,169,13.3,1.5,4.6,0,0.3,0,0.6,3.5,0.4,1,0,0,0,0,0,0,0,1.4,0,0,0,0,144,17.8,0.3,0.3,1.1,1.7,1.3,0,9.3,0,0.3,0,0,0.3,0,0,0.5,2.3,0.2,0,0,0,0,198,9.9,1.8,1.6,-,0.2,-,1.6,3.2,0.9,-,-,-,1.5,0.2,0.5,-,0.1,0.2,-,-,-,233,7,4.1,1.3,1.6,0.4,0.8,0.9,3.5,1,-,-,0.3,0.2,-,-,-,-,1.1,-,-,0.3,-,165,3.7,4.7,3.2,-,1.6,0.8,-,6,0.3,0.2,1.2,1.3,1.3,-,-,0.3,-,-,-,-,-,158,4.4,7.6,2.2,-,4.1,0.6,-,1.1,1,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-
"종사자지위별",고용원이 없는 자영업자,578,17.4,3.8,2,0.4,0.4,0,2.1,6.4,1.4,0.7,0.1,0.2,0.2,1.2,0,0.2,0,2.7,0,0,0,0,748,11.3,1.7,1,1.1,2.1,1.7,0.7,6.7,0.7,0.6,0.4,0.3,0.6,0.5,0,0.1,0,2,0,0,0,0,939,16.5,2.8,2,1.8,1.3,0.7,1.4,3.1,0.2,0.2,0.3,0.2,0.5,0.1,0.2,0,0.2,0.1,-,0.1,-,729,10.6,5.2,1.9,2.3,1.7,1,1.2,3.9,1.2,1.9,0.6,0.1,1,0.4,-,0.3,-,1.7,-,-,-,0.2,577,13.2,3.3,2.7,1.9,1,1.4,1.2,4.2,1.6,1.1,0.2,0.4,0.6,-,0.3,0.1,-,1.5,0.1,-,-,653,8.4,4,2.3,3.5,2.6,1.8,2.9,3.1,2.3,0.7,0.4,0.2,0.8,0.2,0.1,0.2,-,0.2,-,0.1,-,-
"종사자지위별",무급가족종사자,86,5.5,6.5,1.1,0.9,2.5,0,0,0,0,0,1.8,0,1.6,2.9,0,0,0,0,0,0,0,0,58,5.6,1.2,0,6.2,0.3,0.7,0,0,0.8,1.5,0.8,0,0,3.2,0,0,0,0,0,0,1.9,0,109,7.6,2.8,2.5,2.9,0.8,2.6,-,0.5,0.7,1.5,1.5,-,-,-,-,-,-,-,-,-,-,64,2.8,-,-,1.7,-,4.7,-,-,1.3,-,1.2,-,1.4,1.4,-,-,-,-,-,-,-,-,56,3,6.2,5.3,4.4,0.8,3.9,-,2.9,-,8.5,1.7,2.3,1.3,0.6,-,-,-,-,-,-,-,64,3,6.3,2.7,0.4,0.8,7.1,2,2.4,4.6,2,7.8,0.8,-,-,-,-,-,-,-,-,-,-
"종사자지위별",기타종사자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,3.2,-,1.6,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,3.9,-,-,-,-,5.2,-,-,1,-,-,-,-,-,-,4,1.2,-,-,-,18,-,-,-,-,-,-,-,-,5.2,4.9,-,-,-,-,-,3.1,-,-,-,-,-,28,10.9,5.6,6.6,-,-,-,2.9,-,-,-,-,4.1,-,-,-,-,-,-,-,-,-,-
"종사자지위별",해당없음(무직),1749,6.6,4.6,4.7,0.7,1.3,0,0.7,0.3,1.5,1.7,0.3,3.1,0.6,1.1,0,0.3,0.4,0.9,0.3,0.2,0,0.1,1636,3.8,1.5,4.9,1.4,2.1,2,0.4,1.1,1.3,1.1,0.3,3.6,0.5,0.5,0,0,0.3,0.4,0,0.1,0,0.2,1772,5.9,5.2,4.5,1.9,1.3,2.6,0.5,0.6,2,0.9,0.3,0.9,0.8,0.1,1,0.2,0.1,0.4,-,-,0,1675,5,7.4,7.4,2.1,1.2,1.4,0.4,1.1,2.6,1.1,1.5,1.7,0.4,0.6,0.9,0.2,0.3,0.4,0.1,0.1,0.1,0.2,1224,6,5.1,5.1,3.3,1.8,1.7,0.4,1.1,2.9,1,1.1,1.8,1.3,0.2,1,0,0.4,1,-,0.2,0.1,1386,4.6,4.5,5.6,3.6,2.5,3.8,0.8,0.6,1.8,1.1,1.2,0.9,0.9,0.5,0.7,0.3,0.4,0.3,-,-,0.1,-
"종사자지위별",임금.봉급 근로자,2039,8.8,4.5,4.2,0.5,0.6,0,1.8,2.9,1.5,0.7,0.3,1.6,0.5,0.1,0,0.2,0.1,0.6,0.1,0.1,0,0.1,2427,9,1.3,3.5,1,1.8,0.4,1.2,3.6,0.7,0.8,0.8,1.7,0.7,0.2,0,0.1,0,0.6,0,0.1,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,202,8,1,0.6,3.1,1.2,0,0.2,0,2.2,0.2,0,0.3,0,7,0,0.1,0,1.5,0,0,0,0,282,4.5,0.8,1.3,5.8,0.8,5.9,0.7,4.1,0.2,1.4,0.2,0.7,0.3,1.3,0,0,0,1.7,0.1,0,0,0,382,6,1.7,2.5,2.4,0.2,5.8,0.9,0.9,0.8,0.1,0.7,1.2,0.8,1.1,-,-,-,2,-,-,-,290,5.5,3.2,2.7,2.5,2.5,4.4,0.5,2.7,0.8,1.1,0.1,0.2,0.9,4.2,0.1,-,-,0.8,0.6,-,-,-,222,8.1,2,2.2,3.5,0.5,3.2,1.4,1.6,2,-,1.2,1.4,0.7,1.5,-,-,0.8,1.7,-,-,0.3,323,2.8,1.3,4.1,2.4,1.8,6.7,3.1,0.8,1.1,0.1,1.1,0.6,0.7,0.3,-,-,-,0.6,-,-,-,-
"가구소득별",100~200만원,348,14.7,0.7,0.8,0.6,2.1,0,0.8,2.9,1.6,0.6,0.5,0.3,0.1,3.4,0,0,0.3,4.1,0,0,0,0,417,8.6,0.5,1.5,2,3.4,1.5,0.5,2.2,0.8,0.2,0,0,1,1.8,0,0,0,2,0,0,0,0.8,424,10.2,3.4,2.7,1.3,0.8,4.9,2,1.3,1.3,-,0.9,-,0.7,0.2,0.7,-,0.3,0.2,-,-,-,299,11.2,2.1,3.7,1.3,0.8,3.6,1.6,1.8,1.4,0.4,0.2,1.8,0.5,0.3,0.2,-,0.3,1.2,-,-,-,-,265,9.3,4,2.8,1.3,0.4,2.8,0.8,5.5,1.3,1.2,1.1,0.6,0.4,0.2,-,0.2,-,3.4,-,-,-,288,7.2,0.9,3.7,4.6,1.5,5.9,2.4,1.9,2.2,-,0.1,1,0.5,1,-,-,0.7,0.6,0.1,-,-,-
"가구소득별",200~300만원,633,12.3,4.2,4.3,0.2,1.2,0,1.1,2.3,1.3,0.6,0.5,1.9,0.2,0.9,0,0,0,2.6,0,0,0,0,812,8.2,0.5,4.2,2,2.7,2.5,0.9,2.9,0.9,1.2,0.4,1.1,0.6,0.8,0,0,0.5,0.3,0,0,0,0,729,13.3,2.8,4.1,2.5,1.6,2.3,1.5,2.6,0.8,-,0.4,0.3,0.6,0.3,0.8,-,0.1,0.3,-,-,-,581,8.7,6.5,5.1,2.5,1.6,1.9,1.4,2.8,1.3,1.1,0.9,0.4,0.4,0.2,1.1,0,-,1.2,0.1,-,-,-,462,10.1,3.6,6.9,1.3,1.1,1.2,1.2,2.5,2.5,1.2,-,0.4,0.3,0.5,0.3,0.1,0.1,1.4,-,-,-,494,6,3.7,3.8,2.9,3,3.7,2.4,1.5,1.5,0.4,2.2,0.7,1,0.2,0.1,0.3,-,0.3,-,0.2,-,-
"가구소득별",300~400만원,1023,9.6,4.1,6.1,0.5,1.1,0,2.3,3.2,0.6,0.5,0.2,1.8,0.6,0.1,0,0.3,0.3,0.8,0.1,0,0,0.1,1066,7.7,1.7,4.3,1.4,2.3,0.8,1.2,5.1,0.5,0.8,0.3,1.8,0.7,0.3,0,0.1,0,0.5,0,0,0,0.1,973,11.5,4.2,4.1,2.4,3,1,1.1,1.9,1.4,0.6,0.4,0.5,0.6,0.1,0.5,0.2,0.1,0,-,0.1,-,806,6.8,7.2,4.6,2.3,1.9,1.2,1.1,2.1,1.4,0.9,1.9,0.6,0.9,0.3,0.4,0.2,0.1,1.2,-,-,-,0.4,628,9,6.6,5.6,2.6,1.7,1.4,0.6,2.3,3.1,2.1,1.1,1.5,1.2,0.1,0.9,0.6,-,0.6,0.1,-,0.3,686,6.8,5.3,4.6,3.3,2.5,1.4,2.1,1.9,1.4,1.1,0.6,0.2,0.8,0.3,0.5,-,0.7,0.3,-,0.1,0.1,-
"가구소득별",400~500만원,1091,8,5.9,3.8,0.2,0.6,0,1.1,2.3,1.5,1.9,0.2,1.6,0.5,0.4,0,0.4,0.4,0.2,0,0.2,0,0,1117,4.8,2,4.5,0.9,1.6,1.1,0.3,3.6,0.9,1.3,0.6,3.2,0.3,0.1,0,0.1,0,0.6,0,0,0,0,845,8.7,5.9,4,1.3,1.3,1.2,1.1,1.8,1.8,0.9,1,0.4,0.8,-,0.9,0.2,0.2,0.1,0.1,-,0.1,817,5.5,7.2,6.8,1.7,1.1,0.6,1.2,3.2,2.6,1.1,0.6,0.8,0.5,0.1,0.2,0.4,0.1,0.7,-,0.2,0.2,0.2,602,6.9,6.3,6.3,2.8,2,1,0.8,3,1.1,0.5,0.9,1,1.4,-,0.4,-,0.6,0.1,-,0.4,-,719,5.2,4.6,5.9,3.7,2.2,2.2,1.2,1.4,1.7,1.7,0.7,0.6,0.8,0.1,1.3,-,-,0.1,-,-,-,-
"가구소득별",500~600만원,714,7.5,4.6,3.9,0.8,0.7,0,0.7,2.2,1.5,0.7,0.2,2,0.3,0.3,0,0.1,0,0.6,0.6,0,0,0.3,718,9.6,1.6,4.1,0.6,1.7,0.4,0.5,2.6,1.3,0.8,0.4,1.2,0.6,0,0,0.2,0.7,1.1,0,0.1,0,0.1,738,8,4.9,4.7,1.9,0.7,0.3,0.4,1.8,1.3,1.1,0.2,1.4,1.2,-,0.5,0.5,-,0.2,-,-,-,681,4.8,7.9,6.2,2.1,0.5,0.7,1,2.8,2.2,0.8,1.5,1.1,0.5,0.1,0.6,-,0.2,0.1,-,-,-,0.2,579,7.3,5.4,3.3,2.1,1.6,1,0.7,3.8,1.8,1.3,0.7,1.5,1.1,0.3,1.2,-,0.7,0.8,0.2,0.3,-,613,4,6.1,5.2,3.2,2.5,1.2,1.9,1.3,1.6,0.1,0.5,1,0.1,0.7,0.1,0.2,-,-,0.2,-,-,-
"가구소득별",600만원 이상,610,8,3.9,3.8,0.7,0.6,0,1.7,1.5,2,1.7,0.5,3.1,0.9,0,0,0.2,0.1,0.6,0,0.3,0,0,601,10.8,0.7,1.1,0.3,1.2,0.5,1.5,1.5,0.8,0.2,1.4,3.6,0.9,0,0,0.1,0.1,0.3,0,0.2,0.3,0,720,6.5,6.1,4,1.6,0.6,0.6,0.8,1.8,2.5,0.3,-,0.9,0.2,-,0.2,0.1,0.2,0.2,-,-,0.1,927,6,7.4,4.5,1.7,0.8,0.8,0.9,1.5,2.2,0.8,0.3,0.7,0.5,0.3,0.2,0.2,0.1,0.4,0.1,0.1,0.1,0.1,782,6.6,4.7,6,4.2,1.1,0.5,0.4,2.2,2.9,0.8,0.6,1.4,0.5,0.1,0.9,0.1,-,0.5,0.1,0.2,0.2,803,6.2,5.8,3.7,3.2,1.8,1,1.2,1.6,1.3,0.8,0.7,0.4,0.4,0.8,-,0.6,0.3,-,-,-,-,0.1
"지역규모별",대도시,2205,8.9,5.6,4.5,0.7,1.2,0,2,1.7,1.5,1.1,0.5,1.1,0.5,0.3,0,0.2,0.2,0.7,0,0.1,0,0,2315,9.7,1.7,4,0.9,2.3,1.3,1.1,3.3,1,0.7,0.4,1.8,0.7,0.1,0,0.1,0.3,0.8,0,0,0,0.1,1959,9.4,6.3,3.4,1.9,1.3,0.7,0.7,1.7,1.3,0.4,0.4,0.5,0.8,-,0.1,0.3,-,0.3,0,-,0.1,1990,7.1,11.5,5.3,1.6,1,1,1.1,1.9,2.3,0.8,0.7,0.8,0.5,0.3,0.3,0.1,0.1,0.6,0.1,0.1,-,0.2,1629,7.2,8.4,4.9,2.7,1,1.2,0.9,1.8,3.3,0.7,1.1,1.2,1.1,0.2,0.7,0.2,0.2,1,0.1,0.1,0.2,1930,6.4,7.1,4.6,3.3,2.1,1.5,1.6,1.1,1.6,0.7,1.1,0.5,0.6,0.7,0.2,0.1,0.3,0.2,-,-,-,-
"지역규모별",중소도시,1556,9.3,3,3.5,0.5,0.6,0,0.4,2.8,1.3,1.1,0.1,2.8,0.5,0.5,0,0.1,0.1,1,0.4,0.2,0,0.1,1717,5.3,1.1,2.8,1.3,1.8,0.9,0.6,3.3,0.7,1,0.8,2.6,0.4,0.4,0,0.1,0.2,0.6,0,0.1,0.1,0,1640,10,3.9,4.9,1.3,1.3,2.1,1.2,1.4,1.6,0.6,0.6,0.8,0.7,0.1,1,0.2,0.3,0.2,-,0,-,1645,5.5,3.7,5.1,2.5,1.3,1.2,1,2.7,1.8,0.7,1.1,0.9,0.7,0.2,0.4,0.2,0.1,0.3,0.1,0.1,0.1,0.2,1260,8.9,2.4,5.7,2.9,2.3,0.9,0.7,3,1.6,1.2,0.4,1.1,0.7,0.2,0.6,0.1,0.1,0.8,-,0.3,0,1171,5.3,2.9,5.6,3.5,2,2.4,1.3,2,1.6,0.7,0.5,0.5,0.6,0.1,0.8,0.3,0.2,0.1,0.2,-,-,-
"지역규모별",읍면지역,860,9.2,3.9,4.6,0.4,0.6,0,1.5,3.1,1.4,0.9,0,2.4,0.6,1.8,0,0.5,0.2,1.7,0,0,0,0,981,8.2,1,4,2.1,1.1,1.4,0.8,3.2,0.7,0.8,0.4,1.5,0.7,0.9,0,0.1,0,0.8,0,0.1,0,0.2,1212,7.5,2.7,3.5,2.8,1.3,2.2,1.5,2.8,2,0.7,0.3,0.9,0.4,0.4,0.5,-,0.2,0.2,-,0,0.1,766,6.6,1.6,5.2,1.7,1.1,1.8,1.2,2.8,1.4,1.6,0.8,0.6,0.7,0.9,0.5,0.2,-,1.7,-,-,-,0.2,651,7.1,2.8,5,2.4,0.1,1.6,0.4,5.5,1.1,1.7,0.6,1.6,0.8,0.2,1,0.1,0.7,0.6,0.1,-,-,825,3.8,2.4,2.6,3.2,3,3.4,2.7,1.8,1.2,1.2,0.5,1.2,0.4,0.5,0.1,0.4,-,0.3,-,0.1,-,0.1
"권역별",수도권,1812,9.4,3.6,4.4,0.5,0.9,0,1.8,2.2,1.7,1,0.2,2,0.4,0.3,0,0.1,0.1,1.1,0.2,0.2,0,0.1,1777,7.8,0.9,2.1,0.6,0.9,0.6,0.5,2.8,0.6,0.8,0.6,2.5,0.5,0.1,0,0.1,0.3,0.7,0,0.1,0,0.1,1575,9.6,6.4,4.3,1.5,1.7,1.4,0.7,1.2,2,0.6,0.5,1,0.4,0,0.5,0.3,0,0.2,0,-,0,1946,7.7,6.6,5.1,1.9,0.7,0.7,0.7,2.3,2,1.1,0.2,0.8,0.4,0.2,0.4,0.1,0.1,0.4,0.1,0.1,0.1,0.2,1064,9.1,5.2,5.9,2.7,2.1,0.6,0.3,2.7,1.6,1.3,0.6,1.8,0.8,0.3,0.6,0.2,0.4,1.1,0,0.3,0.1,1268,6,6.2,4.7,3.7,2,1.9,1.4,1.2,1.7,0.7,1,0.4,0.5,0.7,0.5,0.3,0.3,0.1,-,-,-,-
"권역별",강원/제주권,329,7,1.4,1.8,0.1,0.9,0,1.2,2.1,1.9,0.7,0.3,0.3,1.2,0.5,0,0,1.7,0,0.5,0,0,0,374,6.4,1.5,6.1,2.1,0.3,1.1,0,4.8,0.8,1.2,0.3,4.3,1.1,0.9,0,0.1,0,1,0,0,0.5,0.5,372,5.6,3.1,4.2,3.1,0.9,1.1,1,3,0.6,0.5,0.6,0.4,0.3,-,0.2,0.1,0.3,0.2,-,-,-,143,7.6,1.4,3.4,1.9,1.4,1.5,0.9,0.4,-,0.5,-,1.3,0.8,-,-,-,-,-,-,-,-,-,357,10.3,0.6,3.9,5.2,0.7,2.1,0.9,4.8,3.1,2.2,0.4,1.2,1.5,0.7,0.5,-,-,1.1,-,-,0.3,342,3.2,0.9,5.3,3.8,7,1.1,2.3,0.9,-,1.2,0.2,0.6,1.2,-,-,-,0.6,0.1,-,-,-,0.4
"권역별",충청/세종권,857,8.7,5.8,2.9,0.9,1.1,0,0.8,3.6,0.9,1.3,0.4,3.8,0.2,0.6,0,0.8,0.2,0.7,0.1,0,0,0,883,6.9,1.4,1.2,2.1,1,1,1.6,3,1.6,0.6,0.7,3.2,0.9,1.4,0,0.1,0,0.8,0,0,0,0.2,800,8.5,7.2,6.5,3.8,0.7,1.8,1.6,3,1.3,0.8,0.6,0.4,2.3,-,1.1,-,0.2,0.2,-,0.1,0.1,378,4.3,5.4,5.3,3,0.4,1,1.2,2.1,0.9,0.9,0.4,0.2,0.5,0.4,0.3,-,-,0.7,0.1,-,-,-,408,8.6,10.7,5.5,4,-,2.2,0.3,2.6,2.8,0.6,0.4,0.4,0.6,-,0.6,0.4,0.2,0.8,-,-,0.2,515,3.6,7.9,2.1,5.5,1.5,3.2,0.9,2.1,1.1,1.9,0.9,2.5,0.9,1,0.9,0.5,-,-,-,0.3,-,-
"권역별",호남권,324,7.3,0.3,0,0,0,0,0,1.3,0,1.9,0.3,2.7,0.1,0,0,0,0,0.6,0,0,0,0,277,6.6,0.7,0,0,0,0.3,0,2.2,0.2,0.3,0,0.5,0,0,0,0.2,0,0.5,0,0.3,0,0,614,10.8,1.9,4,1.5,0.2,1.8,1,1.6,1.2,0.4,0.1,0.2,1,0.6,0.2,0.3,0.4,0.4,-,-,-,404,4.5,0.5,5.4,0.1,1.1,1.7,1.6,3.5,1.3,0.4,0.2,0.9,1.4,1.2,0.2,-,-,1.1,0.1,-,-,-,506,5.3,1,4.2,3,0.4,1.2,0.5,3,1,1.2,0.3,0.8,0.3,-,0.8,-,0.5,1,0.2,-,-,449,4.9,-,7.4,2.8,1.5,3.9,0.7,1.3,2.5,0.5,0.9,0.6,0.3,0.4,0.1,0.4,-,0.5,0.1,0.1,-,-
