"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"권역별",대경권,550,8,12.7,7.2,1.5,1.2,0,0.9,2,1.6,0,1.1,0.2,0.3,2.1,0,0,0.1,0.6,0,0.3,0,0,581,11.1,4.5,1.1,1.9,1.4,1.2,0.5,1.7,1.2,0,0.8,0.3,0,1.3,0,0.2,0,0.5,0,0,0,0,430,8.3,1.7,3.1,1.4,1.3,1.2,1.9,1.6,1.4,0.8,0.3,0.2,0.8,0.1,0.2,-,-,-,-,-,-,570,2.3,15.1,7,1.1,0.1,1.7,0.7,1.8,1.9,0.4,1.9,0.4,0.5,1,0.7,0.3,0.4,1.8,-,-,-,0.3,523,4.5,9,3.8,2.5,0.8,1,1.4,2.7,4.4,0.4,0.2,0.7,1,0.2,1.6,0.2,-,0.2,-,-,-,516,3,4.8,4.5,0.9,1.2,2.6,0.6,1.2,1.4,0.2,0.2,0.4,0.2,0.2,0.2,-,-,0.4,-,0.1,-,-
"권역별",동남권,749,10,3.2,3.9,0.4,0.6,0,0.9,2.6,0.9,1.6,0.2,1.4,1.3,1.2,0,0.4,0.5,1,0.1,0,0,0,1121,7.2,1.3,10.4,2.3,6.5,3,1.8,5.5,1.2,1.5,0.4,1,1,0.1,0,0.1,0.1,0.7,0,0.1,0.1,0.1,1020,9.3,1.2,2,2,1.3,1.8,1.4,2.8,1,0.2,0.5,0.6,0.5,0.3,0.6,-,0.3,0.4,-,0,-,960,7.5,6.8,4.6,2.8,3.1,2,2.1,2.9,2.9,1.1,2.3,0.9,0.7,0.1,0.3,0.4,-,0.7,-,0.2,-,0.2,682,6.8,3.3,5.1,1.8,0.9,2.3,1.8,3.1,2.8,0.5,2.1,0.3,1.2,0.2,0.3,-,-,0.5,0.3,-,0.2,836,7.7,2.9,3.9,3,2.6,1.5,4,2.7,1.3,1,0.4,0.5,0.9,0.1,-,0.1,0.3,0.1,0.2,-,0.1,-
"17개 시도별",서울,720,10.1,4,4,0.5,0.8,0,2.7,1.8,2,1.4,0.4,0.6,0.3,0.3,0,0.3,0.1,0.8,0,0,0,0.1,695,10.3,2,1.5,0.3,0.3,0.6,0.8,2.3,1.1,0.5,0.5,1.7,0.5,0.1,0,0,0.5,1,0,0,0,0.1,609,10.9,5.7,4.1,2.5,1.6,0.2,0.8,0.8,1.9,0.6,0.2,0.3,0.7,-,-,0.5,-,0.3,0.1,-,0.1,691,10.8,1.9,5.7,1.4,0.5,0.5,0.5,1.6,2.9,1.2,-,0.8,0.4,0.5,0.1,0.2,0.2,0.7,0.2,-,-,0.1,355,8.2,2,3.9,3.1,0.8,0.3,-,0.5,3,1,0.3,1.8,1.7,0.3,0.4,0.5,0.2,1.2,-,0.2,0.3,551,6.8,10.4,4.8,3.1,1.8,0.7,1.5,0.6,1.6,0.8,1.7,0.7,0.7,1.4,0.2,0.2,0.4,0.3,-,-,-,-
"17개 시도별",부산,303,10.2,4,1.6,0,0.3,0,1.4,2.1,0.9,1,0.4,1.4,2.4,1.5,0,0.3,1,0.9,0,0,0,0,516,7.3,1.1,12.7,1.9,7.1,3.5,2.9,6.1,0.6,1.5,0,0.7,1.8,0.2,0,0,0,0.8,0,0,0,0,411,9.5,1.7,1.7,2.5,1.2,2.3,0.7,3.4,0.6,0.2,0.7,1.5,-,-,0.4,-,-,0.6,-,-,-,467,5.8,11.2,4.5,1.9,3.4,1.6,3.2,1.8,3.1,0.7,2.2,1.2,0.3,-,0.3,-,-,1.1,-,0.4,-,0.4,310,6.6,2.2,5.5,2.4,1.2,3.4,1.9,1.7,4.9,0.3,2.6,0.2,0.5,-,0.3,-,-,0.7,0.5,-,0.4,319,6.6,4.9,5.6,2.6,3.6,1,4,1.7,1.7,1.2,0.8,-,0.3,-,-,-,0.8,0.2,-,-,0.3,-
"17개 시도별",대구,273,4.3,17.7,7.3,1.4,2.4,0,1.3,1.5,1.6,0,2.2,0,0.3,0.2,0,0,0.3,0,0,0,0,0,298,12.4,4.8,0.7,2,1.7,0.2,0.7,2,1.4,0,0.7,0.3,0,0,0,0.4,0,0.6,0,0,0,0,218,9.9,0.3,3.1,1.2,1.7,0.8,0.2,0.8,1.1,0.4,-,0.2,1.3,0.2,0.4,-,-,-,-,-,-,274,3,23.2,10.1,1,0.1,1.1,0.9,2.1,1.4,-,0.8,0.8,0.5,1,0.9,-,-,1,-,-,-,0.3,283,4.8,15.3,4.2,2.5,1.2,0.7,2.6,1.6,5.4,-,0.4,0.9,1,0.4,2.4,-,-,-,-,-,-,254,4.4,2.9,7.2,0.7,1.7,4.3,0.5,0.6,2.3,0.3,-,-,-,-,0.3,-,-,0.2,-,-,-,-
"17개 시도별",인천,411,8.2,7,8.3,0.9,2.2,0,1.8,1,0.6,1,0,2.7,0,0,0,0,0,0.5,0,0.6,0,0,334,9.4,0,2.1,0,1.2,0.9,0,3.7,0.2,0.6,0,2.2,1.2,0,0,0,0.3,0,0,0,0,0,285,4.7,20.4,2.9,0.2,0.6,0.2,0.5,2.7,1.4,0.2,0.5,-,0.6,-,-,0.4,-,-,-,-,-,276,6,35.2,2.4,1.8,0.3,0.6,0.2,2.7,0.4,0.6,0.4,0.9,0.1,-,0.6,-,0.3,-,-,-,-,-,216,5.3,30.5,5.8,1.2,2,1.2,0.5,5,1.7,1.5,0.8,2.2,0.4,0.6,0.5,0.3,0.4,1.1,0.3,-,-,287,5.4,1.5,3,5.6,2.6,2.9,1.4,1.3,0.9,0.3,0.9,-,0.7,0.2,-,-,-,-,-,-,-,-
"17개 시도별",광주,115,7.2,0.9,0,0,0,0,0,0.5,0,1.4,0,2.1,0.2,0,0,0,0,0.6,0,0,0,0,91,5,0.5,0,0,0,0,0,1.9,0,0,0,0.4,0,0,0,0,0,0.8,0,0,0,0,125,9.2,-,4.5,0.3,-,0.6,0.8,0.7,-,1.4,-,1,-,-,-,0.3,-,-,-,-,-,114,0.7,0.3,5.2,0.4,-,2.7,1,1.4,-,-,0.8,-,2.6,-,-,-,-,-,-,-,-,-,186,6.6,1.4,2.4,4.3,0.4,0.4,-,0.7,1.2,0.6,0.6,0.6,0.5,-,0.6,-,1.5,2.9,-,-,-,135,5.5,-,3.3,1.4,1,-,0.6,2.3,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-
"17개 시도별",대전,260,7.4,5.1,3.3,1.8,1.5,0,1.2,2,1.5,1,0.6,3.3,0.5,0,0,0.2,0,1,0,0,0,0,261,10.3,0.2,1.8,2.5,2.2,2.4,0.3,3.1,2.5,0.7,0.7,7,0.2,0.7,0,0,0,1.3,0.1,0,0,0,238,6.5,10.1,4.1,2.6,2.1,0.7,1.3,3.1,0.7,-,1.3,-,3.8,-,0.6,-,-,0.5,-,-,-,89,6.7,1.3,1.7,4.1,-,-,-,2.4,1,1.5,0.7,-,-,1.1,1.4,-,-,-,-,-,-,-,115,8.6,10.6,8.5,4.3,-,2.9,-,4.4,2.9,-,-,-,-,-,-,-,-,0.3,-,-,0.6,178,4.8,15.3,1,5,3,1,0.9,1.1,0.4,0.7,-,1.3,2.6,0.7,0.7,-,-,-,-,-,-,-
"17개 시도별",울산,152,5.2,1.3,2.7,0.7,1.5,0,0,3.6,2.3,1.1,0,0,0.4,0,0,0,0,1,0,0,0,0,206,7.3,2.9,7,0.5,5.3,1.3,0,3,1,2.6,1.8,2.1,0.6,0,0,0.6,0,0.6,0,0,0.7,0,192,10.4,3,1,-,1.2,1.9,0.8,2,2,-,0.2,-,-,-,-,-,-,0.7,-,-,-,117,10,3.8,7.1,1.3,0.2,1.7,1.3,3.9,8.5,0.5,-,1.4,-,-,-,0.3,-,-,-,-,-,-,158,11.5,8.6,6.9,3.4,0.4,1.9,1.6,3.6,0.7,1.5,5.5,-,1.7,-,0.6,-,-,1.4,-,-,-,232,11.6,0.6,2.3,3.6,1.3,2,2.2,2.3,1.7,0.4,0.4,1.1,-,0.4,-,0.3,-,-,-,-,-,-
"17개 시도별",세종,63,6.8,3.9,0,0,0,0,0,1.6,0,1.4,0,0,3,0,0,0,2.4,0,0,0,0,0,91,4.8,0,0,0.7,0,1.3,0,5.7,0,0,0,10.9,0,1,0,0,0,0,0,0,0,0,109,4.2,9.6,8.7,-,-,2.1,1,1.1,1.9,0.5,-,-,2,-,-,-,-,0.3,-,-,-,21,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5,-,-,-,-,43,9.7,-,11.8,10.8,-,2.3,-,3.8,1.4,-,-,1.8,-,-,-,-,-,-,-,-,-,71,7.1,15.8,6.6,10.5,-,1.6,-,4.9,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-
"17개 시도별",경기,681,9.1,2.2,3.6,0.3,0.7,0,0.9,2.8,1.7,0.7,0,3,0.5,0.5,0,0,0,1.6,0.3,0.2,0,0.2,748,5.6,0.3,2.5,0.9,1.3,0.6,0.4,3,0.3,1.1,0.9,3.2,0.4,0,0,0.2,0.2,0.6,0,0.1,0.1,0,681,9.6,4.1,4.8,1,2,2.6,0.6,1.1,2.2,0.7,0.7,1.6,0.1,0.1,1,0.2,0.1,0.3,-,-,-,979,6,2,5.3,2.4,0.9,0.9,0.9,2.6,1.9,1.2,0.4,0.9,0.4,0.1,0.6,-,-,0.2,0,0.1,0.2,0.4,493,10.4,1.9,7,2.7,2.8,0.6,0.4,3.5,0.8,1.5,0.7,1.7,0.4,0.2,0.8,-,0.6,1,-,0.5,-,430,5.3,3.3,5.2,3.7,2.1,2.9,1.3,1.8,2,0.6,0.3,0.2,0.2,-,1.1,0.5,0.2,-,-,-,-,-
"17개 시도별",강원,166,6.1,1.9,2.1,0,1.5,0,1.9,2.4,1.6,0.3,0.5,0,0,0.7,0,0,2.2,0,0.4,0,0,0,200,3.9,2,7.2,2.2,0.4,0.8,0,6.3,0.2,1.5,0.4,6.1,0.7,1.5,0,0,0,1.6,0,0,0,0.7,267,5.6,3.6,4,1.9,0.5,0.8,0.9,2.7,0.7,0.6,0.7,0.5,0.4,-,0.2,-,-,0.2,-,-,-,93,6.5,2.2,4.9,2.9,0.9,2.3,0.6,0.6,-,0.7,-,-,1.2,-,-,-,-,-,-,-,-,-,144,3.7,1.2,7.7,3.3,-,2.8,1.5,5.6,-,4,-,1.5,-,0.6,-,-,-,2.1,-,-,0.6,222,3.5,0.5,6,3,7.9,-,3,1.3,-,1.6,0.2,0.6,0.4,-,-,-,0.9,0.2,-,-,-,0.5
"17개 시도별",충북,238,10.7,3,2.7,0.7,1.4,0,0.6,5.4,1.8,1.6,0,6.8,0,1.3,0,0.7,0,0.3,0,0,0,0,274,4.7,3,1.6,0.8,0.7,0,2,2,1.9,0.7,0.8,0.9,0.5,2.2,0,0.2,0,0.9,0,0,0,0.6,288,9.4,6.8,9.7,4.5,0.1,1.7,2.7,3.3,1.7,1.1,0.3,0.3,2.7,-,1.5,-,0.6,0.2,-,0.2,0.4,126,5.8,10.5,7.7,0.6,0.9,0.9,1,2.1,-,0.9,0.5,-,1.7,0.6,-,-,-,1.3,0.3,-,-,-,109,9.1,-,4.9,0.7,-,1,-,4.5,4.1,0.5,-,1.3,1.7,-,2.3,-,0.8,-,-,-,-,175,2.4,3.8,2.2,6.2,-,6.1,0.9,1.6,1.5,2.2,0.4,3.5,-,2.2,1.2,1.3,-,-,-,-,-,-
"17개 시도별",충남,296,8.4,8.4,3.1,0.3,0.7,0,0.7,3.6,0,1.3,0.5,2.5,0,0.6,0,1.4,0.3,0.8,0.3,0,0,0,257,6.1,1,0.5,3.3,0.3,0.7,2.5,3.3,0.6,0.6,0.7,0.9,2.2,1.5,0,0,0,0.3,0,0,0,0,165,10.4,3.9,4.3,5,-,3,0.7,3,1.4,1.5,0.5,0.9,0.3,-,1.3,-,-,-,-,-,-,142,1.2,4.3,6.3,4.9,0.4,1.8,2.3,2.3,1.6,0.6,-,0.5,-,-,-,-,-,-,-,-,-,-,141,8.1,19.5,3,5.4,-,2.5,0.6,-,2.1,1.2,0.9,-,0.3,-,-,1.1,-,1.8,-,-,-,91,2.7,0.8,2.3,3.7,2,2.6,1.1,3.7,1.7,4,3.2,3.1,-,-,1.1,-,-,-,-,1.3,-,-
"17개 시도별",전북,130,3.2,0,0,0,0,0,0,0.7,0,1.8,0,2.7,0,0,0,0,0,0.6,0,0,0,0,99,0.5,0,0,0,0,0,0,3.1,0.4,0.8,0,1,0,0,0,0.4,0,0,0,0,0,0,264,13.4,3.7,5.2,0.3,0.5,3.2,1.8,0.9,0.4,0.3,-,-,1.3,0.9,0.4,-,-,-,-,-,-,139,3.2,1.2,8.9,-,1.8,1.9,3,3.5,3.2,1.1,-,2.6,0.5,0.4,-,-,-,1.2,0.4,-,-,-,154,4.2,-,1.8,2,-,0.7,-,2.8,-,1.1,-,1.2,-,-,-,-,-,-,0.6,-,-,97,2.5,-,2.2,3.7,0.7,0.4,2.5,-,0.9,-,-,-,0.8,-,-,-,-,-,0.3,-,-,-
"17개 시도별",전남,79,13.2,0,0,0,0,0,0,3.2,0,2.5,1.1,3.4,0,0,0,0,0,0.7,0,0,0,0,87,15.2,1.5,0,0,0,0.9,0,1.4,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,225,8.6,0.8,2.1,3.5,-,0.9,-,2.9,2.7,-,0.4,-,1,0.7,-,0.6,1.2,1.2,-,-,-,151,8.7,-,2.3,-,1.3,0.8,0.8,5.1,0.7,-,-,-,1.1,2.8,0.5,-,-,1.9,-,-,-,-,166,4.8,1.6,8.4,2.6,0.9,2.5,1.7,5.7,1.7,2,0.3,0.5,0.5,-,1.8,-,-,-,-,-,-,217,5.4,-,11.7,3.3,2.1,7.4,-,1.2,3.3,1,1.8,1.2,0.3,0.8,0.2,0.8,-,0.9,-,0.2,-,-
"17개 시도별",경북,277,11.7,7.7,7.1,1.5,0,0,0.4,2.4,1.5,0,0,0.5,0.3,4,0,0,0,1.2,0,0.7,0,0,283,9.8,4.1,1.6,1.9,1,2.3,0.4,1.4,1.1,0,0.8,0.2,0,2.7,0,0,0,0.4,0,0,0,0,212,6.7,3.1,3.1,1.5,0.9,1.7,3.6,2.5,1.7,1.2,0.6,0.2,0.3,-,-,-,-,-,-,-,-,296,1.5,7.1,4,1.3,-,2.3,0.4,1.5,2.3,0.7,2.9,-,0.6,1.1,0.4,0.5,0.9,2.6,-,-,-,0.3,240,4.1,1.8,3.4,2.5,0.4,1.4,-,3.9,3.2,0.8,-,0.5,0.9,-,0.6,0.3,-,0.4,-,-,-,262,1.7,6.4,2.1,1.2,0.7,1.1,0.8,1.8,0.6,-,0.4,0.7,0.4,0.3,-,-,-,0.6,-,0.2,-,-
"17개 시도별",경남,294,11.1,2.8,6.6,0.7,0.5,0,0.5,2.8,0.6,2.3,0,1.9,0.5,1.3,0,0.7,0,1.1,0.2,0,0,0,399,7,1.2,8.6,3.4,5.9,3,1,5.5,1.9,1.2,0.4,0.9,0.1,0,0,0,0.3,0.6,0,0.2,0,0.2,417,8.8,0.3,2.6,2.1,1.5,1.3,2.3,2.5,1.1,0.3,0.4,-,1.1,0.6,1.1,-,0.7,0.1,-,0.1,-,376,8.9,2.4,4.1,4.4,3.6,2.5,0.9,3.9,0.9,1.8,3.2,0.5,1.4,0.3,0.3,0.8,-,0.6,-,-,-,-,214,5.2,2.7,3.8,0.3,0.8,0.9,1.6,4.7,0.6,0.4,-,0.6,2,0.6,0.3,-,-,-,-,-,-,285,6.9,1.8,2.8,3.1,2.2,1.7,4.8,3.9,0.8,1.1,-,0.7,2,-,-,-,-,-,0.6,-,-,-
"17개 시도별",제주,163,8.6,0.5,1.1,0.3,0,0,0,1.5,2.3,1.5,0,0.8,3.3,0,0,0,0.8,0,0.5,0,0,0,174,11.2,0.5,3.9,1.9,0,1.7,0,1.8,1.9,0.7,0.2,0.8,1.8,0,0,0.4,0,0,0,0,1.4,0,105,5.5,1.1,5,7.8,2.7,2.4,1.2,4.4,-,-,-,-,-,-,-,0.6,1.4,-,-,-,-,50,9.7,-,0.6,-,2.5,-,1.7,-,-,-,-,3.7,-,-,-,-,-,-,-,-,-,-,213,17,-,-,7.1,1.5,1.4,0.4,3.9,6.3,0.3,0.8,0.9,3.1,0.9,0.9,-,-,-,-,-,-,120,2.4,2.1,3.4,6.2,4.4,4.1,0.5,-,-,-,-,0.7,3.5,-,-,-,-,-,-,-,-,-
"장애여부별",장애등록,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,15.5,0,0,3.2,0.9,1.4,1.2,0.7,4.4,0,2.6,0,0,0,0,0,0,0,0,0,0,0,65,14.9,2.1,1.6,1.6,-,1.2,1.3,-,3.2,-,-,2.5,-,-,-,-,-,2.5,-,-,-,77,2.3,6.6,1.2,1,-,-,2,7.9,0.7,-,3.6,-,-,1,-,-,-,-,-,-,-,1.2,53,10.7,-,7.2,-,-,3.4,0.9,2.1,3.2,-,0.9,3.2,-,-,-,-,-,1.1,-,-,-,38,0.9,0.7,-,-,1.8,2,2.5,-,-,-,-,-,6.7,-,-,-,-,-,-,-,-,-
"장애여부별",미등록,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9.5,0,7.2,0,6,0.5,0,5.4,0,2,0.8,0,0,1.8,0,0,0,0,0,0,0,0,20,-,-,3.2,6.1,-,6.5,-,19.9,-,-,-,-,-,-,-,-,-,-,-,-,-,71,18.3,4.6,-,1.4,3.5,-,1.6,6.3,0.5,1.4,-,-,0.6,-,1.7,-,-,-,-,-,-,-,52,2.9,1.4,8.5,4.2,-,-,-,6.1,-,-,0.9,-,2.8,-,2.2,-,-,1.7,-,-,-,35,5.2,6.7,2.7,10.2,-,0.6,4.5,-,-,-,7.1,-,2.8,-,-,-,0.7,-,-,-,-,-
"장애여부별",해당사항없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4906,7.7,1.4,3.5,1.2,1.9,1.2,0.8,3.3,0.8,0.9,0.5,2.1,0.6,0.3,0,0.1,0.2,0.7,0,0.1,0.1,0.1,4726,9.2,4.7,4,1.9,1.3,1.5,1,1.8,1.6,0.6,0.5,0.7,0.7,0.1,0.5,0.2,0.1,0.2,0,0,0,4253,6.2,6.9,5.4,2,1.1,1.3,1.1,2.2,2,0.9,0.9,0.8,0.6,0.4,0.4,0.2,0.1,0.7,0.1,0.1,0.1,0.2,3435,7.9,5.3,5.1,2.8,1.4,1.2,0.7,2.8,2.3,1.1,0.7,1.2,0.9,0.2,0.7,0.2,0.3,0.8,0.1,0.2,0.1,3853,5.6,4.9,4.6,3.3,2.3,2.1,1.7,1.6,1.6,0.8,0.7,0.6,0.5,0.5,0.4,0.2,0.2,0.2,0.1,-,-,-
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1720,6.2,5.9,4.3,3.4,2.2,0.9,2.1,1.7,1,0.6,0.6,0.5,0.4,0.5,0.2,0.1,0.1,-,-,0.1,-,-
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,4.8,0.2,8,0.6,0.8,1.4,1.1,1.9,6.4,1.7,-,-,1.1,-,0.3,-,-,-,1.4,-,-,-
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,3.4,3.2,1.6,2.9,-,1.6,1,0.8,0.4,2.1,0.3,0.3,1,1.7,0.4,-,-,0.9,-,-,-,-
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527,6.9,4,3.2,3.3,2.5,2.1,3.2,3.5,1.6,0.2,0.6,0.3,0.2,0.2,0.1,0.8,0.2,0.1,-,-,-,0.1
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,6.7,3.8,3.2,6.5,2.3,-,1,0.3,1.1,-,-,1.1,0.6,-,0.1,-,-,-,-,-,-,-
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1233,6,5.8,5,2.2,1.2,1.3,2.4,2.3,1.3,0.7,0.7,0.5,0.5,0.6,0.1,0.4,0.2,0.1,0.1,-,-,-
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1088,6,4.4,3.2,3.7,3,1.5,2.3,2.1,1.5,0.8,0.5,0.1,0.3,0.4,0.3,-,0.1,0.1,-,0.1,-,0.1
