"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"가구소득별",200~300만원,-,0.1,0.4,1.5,8.2,19.8,41.4,28.6,0,5.86,1594,0.4,0.4,2.6,10.6,24.2,36.3,25.6,-,5.69,1706,-,0.2,2.2,11.4,28.5,34.9,22.6,5.64,1613,0.1,0.6,3.8,22.4,28.6,26.9,17.5,5.3,1405,0.1,0.2,2.7,14.8,25.3,31.5,25.3,5.6,1421,0.2,1.1,1.1,12.3,23.5,35.4,26.4,5.7,1357,0.2,0.1,2.2,19.2,29.1,28.6,20.7,5.5
"가구소득별",300~400만원,-,0.1,0.1,1.5,7.2,24.7,37.7,28.7,0,5.84,2437,0.1,0.4,1.7,9.4,26.3,37.7,24.4,-,5.72,2246,0,0.3,1.8,11.3,26.6,39,21,5.65,2184,0,0.5,3.2,23.5,29.8,27.7,15.3,5.3,1824,0.2,0.3,1.9,15.7,25.1,34.5,22.2,5.6,1896,0.2,0.5,2.7,12.4,25.6,33.1,25.4,5.6,1764,0.1,0.4,3.4,18.8,28.3,31.9,17.1,5.4
"가구소득별",400~500만원,-,0,0.1,1.1,9.1,21,38.5,30.2,0,5.87,2231,0.1,0.7,1.6,8.8,24.6,40,24.1,-,5.73,2214,-,0.3,2.3,10.3,29.4,33,24.5,5.66,1785,-,0.4,2,19.4,32.4,30.1,15.7,5.4,1782,-,0.4,1.6,14.2,25.4,33.2,25.2,5.7,1611,0.3,0.4,1.5,12.1,24.2,37.4,24.2,5.7,1797,0.1,0.2,2.5,21,31.5,28.8,15.8,5.3
"가구소득별",500~600만원,-,0.1,0,1.6,8.4,21.3,39.8,28.9,0,5.86,1356,0.3,0.1,1.6,7,23.6,41.8,25.7,-,5.82,1405,0.1,0.4,1.7,9.4,30.5,35,23,5.67,1394,-,0,3.4,16.8,34.2,31.7,13.8,5.4,1407,0.1,0,1.9,13,25,37.2,22.9,5.7,1380,0.3,0.4,2.5,11.1,24.4,37.9,23.4,5.7,1532,0.2,0.5,2.4,19,32,28.8,17,5.4
"가구소득별",600만원 이상,-,0.1,0.5,1.2,7.2,24.2,40.9,25.9,0,5.81,1048,0.5,0.4,1.1,9.4,24.9,37,26.7,-,5.76,999,-,1.1,2.3,12.4,31.2,36.4,16.6,5.49,1216,-,0.8,3.1,20,29,30.9,16.1,5.3,1767,0.5,0.7,1.5,15.2,23.8,32.5,25.8,5.6,1730,0.4,0.7,1.7,10.7,23.6,37.7,25.2,5.7,1674,0.2,0.7,3.3,15.5,29.4,31,19.9,5.5
"가구소득별",무응답,-,0,0,0,12.8,0,57.4,29.8,0,6.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지역규모별",대도시,-,0,0.2,1.2,7,22.3,39.2,30,0,5.89,4611,0.2,0.4,1.1,6.5,24.2,42.2,25.4,-,5.83,4418,0,0.5,1.2,7.9,28.1,38.6,23.6,5.74,4235,0.1,0.7,3.3,19.3,32.6,31.5,12.5,5.3,4373,0.4,0.3,1.7,15.5,24.4,33.2,24.5,5.6,4330,0.5,0.7,2.3,10.4,25.1,36.2,24.8,5.7,4331,0.2,0.4,2.3,15,29.8,33.4,18.9,5.5
"지역규모별",중소도시,-,0.1,0.2,1.4,9.8,22,38.5,27.9,0,5.81,3610,0.3,0.4,2.5,11.9,26,34.9,23.9,-,5.63,3524,0,0.3,2.5,12.9,28.4,34.1,21.8,5.59,3331,0.1,0.3,3,19.6,27.6,28.5,21,5.4,3776,0,0.6,1.8,13.6,24.5,33.4,26,5.7,3486,0.1,0.6,1.9,14.3,23.3,34.3,25.6,5.7,3459,0.2,0.4,3.3,21.8,30.3,26.7,17.4,5.3
"지역규모별",읍면지역,-,0.2,0.3,2.1,7.9,20.8,37.6,30.9,0,5.86,2381,0.2,0.4,1.7,9.6,24.7,33.6,29.8,-,5.78,2556,0,0.4,3.2,13.4,29.5,30.7,22.9,5.56,2494,0.1,0.4,3.8,26.2,30.9,25.2,13.2,5.2,1939,0,0.2,2.2,14.4,24.8,35.7,22.6,5.6,2233,0.1,0.1,0.8,10.6,22.2,36.7,29.5,5.8,2256,0.1,0.6,3.1,21.4,27.2,27.2,20.4,5.4
"권역별",수도권,-,0,0.1,1.3,8.3,25.5,42.3,22.4,0,5.76,3289,0.4,0.3,1.1,8.9,26.5,38.8,24,-,5.74,3182,0,0.4,2.3,11.3,33.3,34.2,18.5,5.54,3179,0.1,0.4,3.5,18.4,30.7,32.6,14.4,5.3,4895,0.4,0.4,1.9,15,23.6,33.7,25,5.6,3135,0.5,1,2.8,15.3,25.3,32.5,22.6,5.5,3107,0.2,0.5,3.1,18.2,31,28.2,18.8,5.4
"권역별",강원/제주권,-,0.9,2.2,2.1,16.7,17.6,26.9,33.6,0,5.63,762,0.3,0.9,5.5,23.7,19.3,20.6,29.7,-,5.41,786,0.1,0.9,2.3,25.4,20.2,20.7,30.2,5.48,765,-,0.5,4.1,28.7,34.5,20.7,11.6,5.1,440,-,0.2,0.6,20.8,25.1,33.4,19.9,5.5,777,0.1,0.2,0.8,9.9,27.9,40.6,20.5,5.7,772,-,0.2,1.7,32.1,23.1,25.2,17.8,5.2
"권역별",충청/세종권,0,0,0,2,15.2,28.8,31.5,22.6,0,5.57,1778,-,0.6,4.2,11.4,27.4,33.1,23.3,-,5.58,1772,-,0.1,3.6,18.4,34.6,29.9,13.6,5.31,1693,0.1,0.8,3.1,29.9,29.6,20.9,15.6,5.1,1115,-,0.2,0.9,9.1,25.8,39.9,24,5.8,1703,-,0.1,0.3,3.7,15.8,43.6,36.5,6.1,1721,0.1,0.5,3.2,22.8,26.8,28.1,18.6,5.3
"권역별",호남권,0,0,0.2,1.7,7.1,13.9,35,42.1,0,6.08,1575,0.1,0.4,1.8,6.9,16.6,37,37.1,-,5.99,1582,0.1,0.3,1.2,4.4,14.6,34.9,44.5,6.16,1447,0.1,1.2,2.6,18.6,22.9,28.2,26.4,5.5,1029,-,0.2,2.5,20.4,27.2,26.5,23.2,5.5,1469,0.1,0.3,1.7,8.6,21.3,38,30,5.8,1485,0.2,0.4,1.9,15.9,23.8,27.4,30.3,5.7
"권역별",대경권,-,0.3,0.3,0.8,2.8,10.5,36.3,49,0.1,6.28,1302,0.2,0,0.5,4.9,20.7,43.9,29.8,-,5.97,1304,0.1,0.4,1.6,5.8,21.5,39.5,31.1,5.91,1195,0.1,0.2,3.5,14.7,35.1,30,16.4,5.4,1047,-,0.9,4,10.1,24.1,31.8,29,5.7,1203,-,0.1,0.5,8.7,21.4,35.9,33.4,5.9,1200,-,0.3,3,17.4,29.5,32.7,17.2,5.4
"권역별",동남권,-,0,0.1,1.5,5.4,20.5,39.4,33,0,5.97,1896,0.1,0.7,1.8,8.5,28.1,39.5,21.2,-,5.67,1872,-,0.5,1,7.4,24.5,44.8,21.8,5.78,1781,0.1,0.5,2.6,25.7,30.6,25.9,14.5,5.2,1562,0,0.3,1,14.5,25.1,35.5,23.6,5.7,1762,0.1,-,1,11.5,26.8,36.9,23.7,5.7,1761,0.1,0.3,2.5,16.9,32.2,36.4,11.5,5.4
"17개 시도별",서울,-,0.1,0.2,0.6,6.2,23.8,41.9,27.2,0,5.88,1257,0.2,0.1,0.3,6.6,27.2,43.8,21.7,-,5.79,1220,0.1,0.6,1.4,8.1,32.4,37.2,20.2,5.65,1191,0,0.6,4.1,14.5,32.8,36.4,11.6,5.3,1931,0.8,0.5,2.1,14,21.7,36.3,24.6,5.6,1195,0.8,1.3,4,11.5,27.1,34.1,21.1,5.5,1164,0.3,0.3,2.9,14.7,26.8,30.5,24.5,5.6
"17개 시도별",부산,-,0,0.3,1.9,6.5,20.4,41,30,0,5.9,751,0.2,1.4,2.7,7.9,24.4,43.1,20.4,-,5.66,734,-,-,0.1,7.6,21.7,44.5,26.1,5.89,693,-,0.9,2.8,24.3,37.8,28.1,6.1,5.1,681,-,-,1,14.1,27,40.4,17.6,5.6,691,-,-,0.5,12.5,29.4,43.3,14.2,5.6,690,0.2,0.4,3.1,19.3,28.2,38,10.9,5.3
"17개 시도별",대구,-,0,0.1,1,2.9,12.2,37.6,46.2,0,6.25,633,-,-,0.4,5.7,19.7,42.6,31.6,-,5.99,638,0.1,-,0.3,3.1,20.3,46.4,29.9,6.02,584,-,0.2,1.9,15.1,36,28.5,18.3,5.5,490,-,0.3,1.5,6.2,25.6,33.6,32.7,5.9,580,-,-,0.7,8.6,22.5,35.9,32.2,5.9,580,-,0.2,1.9,17.2,30.2,33.4,17,5.5
"17개 시도별",인천,-,0,0.3,2.7,8.7,29.5,39.4,19.4,0,5.63,675,0.3,-,-,2.6,18.3,45.4,33.5,-,6.09,637,-,0.2,1.6,12.2,32.5,34.3,19.2,5.57,644,0.2,1.1,3.9,22.5,27.9,31.9,12.4,5.2,556,0.1,0.2,2.9,30.7,28,18.7,19.5,5.2,624,1.1,1.3,1.7,11.4,23.7,36.1,24.8,5.6,617,0.2,1.5,1.4,13.3,36.6,36.5,10.5,5.4
"17개 시도별",광주,0,0,0.5,1.5,12,13.8,23,49.3,0,6.05,492,0,0.2,3.2,9.2,23.6,30.2,33.6,0,5.81,475,-,0.2,-,1.3,12.1,33.2,53.2,6.38,451,-,-,1.1,15.2,22.9,31.1,29.7,5.7,294,-,0.4,0.9,15.5,20.3,22.6,40.2,5.8,452,0.1,-,1,3.8,17.6,29.9,47.6,6.2,447,-,-,1.4,16.9,22.3,34.8,24.5,5.6
"17개 시도별",대전,0,0,0.2,1.9,16,34.4,32.5,15,0,5.42,501,0,2,2.9,12.2,28.6,36.7,17.6,0,5.48,493,-,0.2,1.2,12.4,34.2,35.3,16.6,5.53,463,0.2,1,2.1,40.6,27.6,16.7,11.7,4.9,303,-,-,0.9,10.2,24.8,35.1,29,5.8,460,-,0.4,0.2,3.7,15.2,41.3,39.3,6.1,460,-,0.1,1.3,10,31.4,29,28.2,5.7
"17개 시도별",울산,-,0,0,0,0,9.2,38.4,52.4,0,6.43,426,-,-,0.1,2.8,14.4,37.5,45.3,-,6.25,425,-,3.2,5.2,5.5,19.5,43.9,22.7,5.64,406,-,0.2,4.2,35.9,39.3,18.3,2.1,4.8,221,-,0.5,-,24.5,39.3,26.7,9.1,5.2,390,-,-,1.4,20.2,37.8,30.2,10.4,5.3,393,-,-,1.6,17.8,42.7,35.4,2.4,5.2
"17개 시도별",세종,-,0,0,5,19.6,47.7,20.3,7.4,0,5.06,175,-,-,5.8,9.2,25.7,50,9.4,-,5.48,189,-,0.3,3.5,18,32.7,34.9,10.6,5.3,201,-,0.6,3.1,25,31,21.4,18.8,5.3,61,-,-,1.9,3.8,20.5,39.4,34.3,6,201,-,-,0.8,2.3,6.9,22.5,67.6,6.5,221,-,-,2,5.9,39,25.6,27.6,5.7
"17개 시도별",경기,-,0,0.1,1.6,10.1,26.1,43.3,18.9,0,5.67,1357,0.5,0.5,2,12.2,27.9,33.2,23.8,-,5.61,1325,-,0.3,3.2,13.6,34.1,31.7,17,5.45,1344,0,-,2.9,20.4,29.7,29.9,17,5.4,2408,0.1,0.4,1.5,12.2,24,35.2,26.6,5.7,1316,0.1,0.7,2.2,19,24.3,30.5,23.3,5.5,1326,0.2,0.4,3.6,21.8,32.7,24.7,16.6,5.3
"17개 시도별",강원,-,0.8,2.5,2.2,14.4,19.6,26.6,33.9,0,5.65,462,0.3,1.2,7.2,26.7,20.9,16.6,27.2,-,5.25,478,0.2,1,2.8,27.6,21.3,18.5,28.5,5.39,463,-,0.1,2,23.9,33.6,24.6,15.7,5.3,320,-,0.2,0.8,25.9,23.1,26.5,23.4,5.4,475,0.2,0.3,1.1,12.9,29.9,41.2,14.4,5.5,472,-,0.3,1.6,41,23.1,20.6,13.5,5
"17개 시도별",충북,-,0,0,2,16.1,28.3,32.2,21.4,0,5.55,512,-,-,9.7,19.4,31.5,26.4,13,-,5.14,501,-,-,1,19.1,36.9,30.8,12.2,5.34,475,-,0.7,1.4,14.7,21.9,28.3,33,5.7,321,-,-,2,10.3,18,38,31.6,5.9,480,-,-,-,4.7,24.9,54.8,15.6,5.8,482,0.2,0.4,5.4,39.2,16.9,21,16.9,5
"17개 시도별",충남,-,0,0,1.9,13.4,23.5,30.9,30.3,0,5.74,590,-,0.2,0.8,5.1,23.7,33.7,36.5,-,5.99,589,-,-,7.2,22,33.3,24.6,12.8,5.14,554,0.1,0.6,5,34.5,36.7,18.2,4.9,4.8,430,-,0.5,-,8.2,33.1,44.7,13.5,5.6,562,-,-,0.5,3.1,10.8,40.1,45.5,6.3,558,-,1,2.9,21.9,29.2,33.1,11.8,5.3
"17개 시도별",전북,-,0,0,0.4,4.1,15.2,41.3,38.9,0,6.14,551,-,0.4,1.3,6.2,14.2,42.7,35.2,-,6.03,560,0.4,0.3,1.5,5.1,15.2,32.2,45.4,6.13,496,-,1.7,0.6,8.2,22.5,35.8,31.2,5.8,375,-,0.1,4.3,14.1,28.2,34.9,18.4,5.5,511,-,0.2,-,7.4,27.5,48.6,16.2,5.7,523,0.1,0.7,1.6,13,21.3,16.1,47.3,5.9
"17개 시도별",전남,-,0,0.1,3.2,6.2,12.6,38.6,39.3,0,6.04,532,0.2,0.5,1.2,5.7,13.3,37.1,42,-,6.11,547,-,0.4,1.8,6.2,16.1,39.1,36.4,6.01,500,0.4,1.5,6,32,23.3,18.1,18.7,5.1,360,-,0.2,2,30.8,31.8,21.2,14,5.1,506,0.2,0.7,3.9,13.8,18.1,33.9,29.4,5.7,515,0.6,0.3,2.6,18.1,27.6,32.8,18,5.4
"17개 시도별",경북,-,0.5,0.4,0.7,2.7,8.8,35.1,51.6,0.2,6.31,669,0.4,0.1,0.6,4.2,21.6,45,28.1,-,5.94,666,-,0.7,2.8,8.3,22.6,33.2,32.3,5.82,611,0.1,0.2,5,14.3,34.3,31.4,14.7,5.4,557,-,1.5,6.4,13.7,22.7,30.2,25.5,5.5,623,-,0.2,0.4,8.7,20.4,35.9,34.5,5.9,620,-,0.3,4,17.6,28.8,32.1,17.3,5.4
"17개 시도별",경남,-,0,0,1.7,6.1,24.5,38,29.8,0,5.88,719,-,0.2,1.5,11.3,36.8,36.5,13.8,-,5.49,713,-,-,0.6,7.8,29,45.5,17.1,5.71,682,0.3,0.2,2,23.6,20.3,26.3,27.3,5.5,660,0,0.5,1.4,11.5,18.5,33.5,34.6,5.9,681,0.2,-,1.4,7.5,20.6,32.6,37.7,6,678,-,0.4,2.3,14.1,32.8,35.2,15.2,5.5
"17개 시도별",제주,-,1.3,1.1,1.8,23.2,11.9,27.8,32.9,0,5.58,300,0.3,-,1.1,15.9,15.1,31.1,36.5,-,5.85,308,-,0.7,1.2,20,17.6,26.2,34.4,5.71,302,-,1.4,9,40.1,36.5,11.4,1.7,4.5,120,-,-,-,8.7,29.8,49.7,11.7,5.6,302,-,-,-,2.8,23.1,39.3,34.7,6.1,300,-,-,1.9,11.4,22.9,35.9,27.9,5.8
"장애여부별",장애등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,-,0.7,9.7,7.9,11.3,35.6,34.8,5.76,151,-,-,4.6,20.5,24.6,21.1,29.2,5.5,225,-,1,0.6,8.6,22.6,32.5,34.7,5.9,218,-,1.5,-,13,24.4,28.4,32.7,5.8,151,-,2.2,3.8,12.9,26.4,26.7,28,5.6
"장애여부별",미등록,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,0.2,3,6.9,25.1,35.2,29.7,5.81,55,1.4,-,3.7,18.6,39.4,17.2,19.6,5.2,233,-,0.8,2.3,8.8,21.1,43.8,23.2,5.7,110,-,-,4.1,9.1,21,37,28.7,5.8,58,5.6,6.8,7.3,20.3,26.9,19.4,13.8,4.7
"장애여부별",해당사항없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10214,0,0.4,2,10.9,28.7,35.4,22.6,5.64,9854,0.1,0.5,3.2,20.8,30.4,29.3,15.6,5.3,9630,0.2,0.4,1.9,14.8,24.7,33.6,24.5,5.6,9721,0.3,0.6,1.8,11.9,23.9,35.7,25.8,5.7,9837,0.1,0.4,2.8,18.9,29.6,29.7,18.5,5.4
"근무 형태",전일제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4189,0.1,0.3,2.7,19.5,29.3,30.6,17.3,5.4
"근무 형태",교대제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,-,0.2,3.4,12.2,31.5,30.5,22.3,5.6
"근무 형태",시간 선택제,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,-,0.4,5,13.8,27.3,27.8,25.6,5.5
"근무 형태",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1419,0.5,0.5,2.1,16.5,31.6,28.5,20.5,5.5
"유연 근무제 여부",시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,0.4,0.2,3.4,17.7,29.8,29.5,18.9,5.4
"유연 근무제 여부",미시행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2959,0.2,0.4,3.2,18,29.8,29.3,19.2,5.4
"유연 근무제 여부",해당 없음,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2802,0.2,0.4,2,18.5,29.9,30.9,18.2,5.4
